time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.466667,"(-0.00119302, -0.0030724, 6.17383e-06)","(0.013955, 0.995994, 0.0883254)","(0.163861, -0.985742, -0.038232)","(-0.282996, -0.954946, 0.0893942)","(-0.138958, -0.952054, -0.27255)","(0.0890871, -0.970336, -0.224749)","(0.0456941, -0.978546, -0.200897)","(-0.0397566, -0.99499, -0.0917267)","(0.154603, -0.982686, 0.102113)","(0.233231, -0.97016, 0.0662738)",0
0.5,"(-0.00250322, -0.000882936, 3.58318e-05)","(0.0209551, 0.995596, 0.0913712)","(0.156009, -0.987559, -0.0196906)","(-0.283214, -0.952267, 0.113919)","(-0.122789, -0.970296, -0.208442)","(0.0765459, -0.983613, -0.163239)","(0.0567331, -0.970329, -0.235037)","(-0.0452966, -0.993959, -0.0999701)","(0.16599, -0.905437, 0.390681)","(0.245033, -0.907927, 0.34004)",0
0.533333,"(-0.00250322, -0.000882936, 3.58318e-05)","(0.028041, 0.993565, 0.10974)","(0.137817, -0.990415, 0.00916685)","(-0.285688, -0.947819, 0.141496)","(-0.103112, -0.986499, -0.127232)","(0.0645113, -0.994118, -0.0869922)","(0.0621767, -0.960256, -0.272108)","(-0.0608626, -0.991991, -0.110677)","(0.155121, -0.731604, 0.663847)","(0.252098, -0.778021, 0.575439)",0
0.566667,"(-0.00250322, -0.000882936, 3.58318e-05)","(0.0322987, 0.99028, 0.135289)","(0.124863, -0.991876, 0.0242975)","(-0.294532, -0.942297, 0.159144)","(-0.0869209, -0.992923, -0.0809281)","(0.0571837, -0.99755, -0.0402886)","(0.0679347, -0.951014, -0.30159)","(-0.0709528, -0.98672, -0.146115)","(0.143427, -0.783168, 0.605042)","(0.280196, -0.741467, 0.609686)",0
0.6,"(-0.0033712, -0.0032445, 5.53816e-05)","(0.0380553, 0.986924, 0.156629)","(0.115481, -0.99315, 0.0178196)","(-0.311076, -0.936986, 0.159027)","(-0.0701151, -0.992503, -0.100106)","(0.0490134, -0.997324, -0.0542481)","(0.0766248, -0.947601, -0.310129)","(-0.0726117, -0.981186, -0.178888)","(0.062041, -0.978574, 0.196327)","(0.307172, -0.831683, 0.462545)",0
0.633333,"(-0.00365112, -0.00545363, 5.02246e-05)","(0.0446663, 0.98442, 0.170066)","(0.112549, -0.993645, -0.00167065)","(-0.327934, -0.934846, 0.136096)","(-0.0541821, -0.987861, -0.145585)","(0.03617, -0.995754, -0.0846539)","(0.0943195, -0.957892, -0.271195)","(-0.0577052, -0.979495, -0.193027)","(-0.16956, -0.924558, -0.341236)","(0.297273, -0.914632, 0.274003)",0
0.666667,"(-0.00399501, -0.00854404, 4.71647e-05)","(0.0465496, 0.979429, 0.196348)","(0.0929938, -0.995638, -0.00751263)","(-0.334397, -0.935734, 0.112165)","(-0.0334939, -0.991558, -0.125266)","(0.0317019, -0.995468, -0.0896555)","(0.108762, -0.972618, -0.205391)","(-0.0393321, -0.980265, -0.193734)","(-0.472885, -0.863562, -0.175044)","(0.266814, -0.922008, 0.280557)",0
0.7,"(-0.0046037, -0.0119305, 4.28458e-05)","(0.0420193, 0.979602, 0.196504)","(0.071903, -0.997408, 0.00262421)","(-0.322921, -0.942154, 0.0898211)","(-0.0317786, -0.994894, -0.095794)","(0.0746144, -0.996268, -0.04339)","(0.107645, -0.978743, -0.174571)","(-0.0243832, -0.983034, -0.181798)","(-0.605856, -0.74266, 0.285298)","(0.238468, -0.843994, 0.480424)",0
0.733333,"(-0.00474774, -0.0166842, 3.75924e-05)","(0.0306536, 0.983045, 0.180784)","(0.0464441, -0.998875, 0.0095962)","(-0.298635, -0.950693, 0.0836647)","(-0.054756, -0.993108, -0.103623)","(0.160772, -0.986804, -0.0192359)","(0.111473, -0.973831, -0.198056)","(-0.0182072, -0.98522, -0.170323)","(-0.451175, -0.645739, 0.616005)","(0.199835, -0.733874, 0.649227)",0
0.766667,"(-0.00426899, -0.0205782, 3.26116e-05)","(0.00494857, 0.992235, 0.124275)","(0.0270312, -0.999326, 0.0248419)","(-0.276158, -0.957095, 0.0877793)","(-0.0876527, -0.987793, -0.128774)","(0.261363, -0.963087, 0.0644498)","(0.0776826, -0.975282, -0.206858)","(-0.0241927, -0.996038, -0.0855702)","(-0.343007, -0.784127, 0.517195)","(0.202134, -0.745221, 0.635442)",0
0.8,"(-0.00308059, -0.0227736, 2.57204e-05)","(-0.0325615, 0.993799, 0.106313)","(-0.00798572, -0.999533, 0.029501)","(-0.229736, -0.970274, 0.0760925)","(-0.0841389, -0.988212, -0.1279)","(0.322175, -0.939946, 0.112714)","(0.0474842, -0.989643, -0.135468)","(-0.0384711, -0.999222, -0.00866183)","(-0.275267, -0.912866, 0.301503)","(0.228145, -0.896747, 0.379203)",0
0.833333,"(-0.00308059, -0.0227736, 2.57204e-05)","(-0.066579, 0.989389, 0.129138)","(-0.0662161, -0.996747, 0.0459404)","(-0.208267, -0.977217, 0.040884)","(-0.0393027, -0.996708, -0.0709095)","(0.307419, -0.933812, 0.182998)","(0.0321685, -0.997566, -0.0618629)","(-0.0622778, -0.997225, 0.0407789)","(-0.235523, -0.96789, 0.0878474)","(0.210151, -0.976766, 0.0420121)",0
0.866667,"(0.000338864, -0.0238343, 9.49018e-06)","(-0.0728787, 0.982531, 0.171237)","(-0.114009, -0.990504, 0.0768319)","(-0.197947, -0.980206, -0.0035775)","(-0.0117316, -0.999875, -0.0105545)","(0.252505, -0.948634, 0.190615)","(0.0662186, -0.997135, -0.0365616)","(-0.0732232, -0.997288, 0.00740742)","(-0.245608, -0.968995, -0.0269182)","(0.12542, -0.976003, -0.178009)",0
