time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.798195,"(-0.041803, -0.009984, -0.007429)","(-0.032711, 0.989665, 0.139622)","(-0.707236, -0.70585, 0.039911)","(0.324987, -0.564542, -0.758733)","(-0.266983, 0.027454, 0.96331)","(0.591783, -0.629301, 0.50376)","(0.098932, -0.910739, 0.400959)","(0.220781, -0.93024, 0.293104)","(-0.179005, -0.851358, -0.493099)","(0.14917, -0.829513, -0.538198)",
0.840378,"(-0.02771, -0.00466, -0.017669)","(-0.025683, 0.989871, 0.139626)","(-0.693242, -0.719375, 0.043759)","(0.275157, -0.55669, -0.783827)","(-0.259484, 0.067695, 0.963372)","(0.555572, -0.753743, 0.351016)","(0.078297, -0.906505, 0.414871)","(0.185506, -0.937574, 0.294181)","(-0.191853, -0.863388, -0.466641)","(0.143053, -0.84664, -0.512579)",
0.884926,"(-0.017779, -0.002196, -0.024329)","(-0.020727, 0.989987, 0.139627)","(-0.683744, -0.728386, 0.044138)","(0.25061, -0.557286, -0.791598)","(-0.239392, 0.098845, 0.965878)","(0.525594, -0.813786, 0.248001)","(0.062839, -0.90284, 0.42536)","(0.163097, -0.941102, 0.296186)","(-0.200529, -0.869733, -0.450947)","(0.135972, -0.856118, -0.498572)",
0.929482,"(-0.006788, -0.000575, -0.031247)","(-0.015229, 0.990086, 0.139632)","(-0.673482, -0.737919, 0.043571)","(0.228805, -0.561614, -0.795134)","(-0.204477, 0.136683, 0.969282)","(0.493395, -0.858386, 0.140482)","(0.045146, -0.897975, 0.437725)","(0.140001, -0.943698, 0.299723)","(-0.210006, -0.875034, -0.436134)","(0.12626, -0.864459, -0.48659)",
0.975113,"(0.004474, 0.000002, -0.037893)","(-0.009597, 0.990157, 0.139635)","(-0.662857, -0.747435, 0.044294)","(0.208347, -0.567979, -0.796236)","(-0.155784, 0.17937, 0.971369)","(0.463459, -0.885216, 0.039987)","(0.026474, -0.892046, 0.45117)","(0.11782, -0.94509, 0.304832)","(-0.219628, -0.878869, -0.423501)","(0.114716, -0.870894, -0.477895)",
1.019775,"(0.015985, -0.000498, -0.044244)","(-0.003829, 0.990195, 0.139637)","(-0.651613, -0.756964, 0.049039)","(0.189789, -0.573027, -0.797258)","(-0.092763, 0.22717, 0.969427)","(0.444261, -0.894341, -0.052794)","(0.006827, -0.884874, 0.465781)","(0.096471, -0.945281, 0.311669)","(-0.229338, -0.881284, -0.413211)","(0.10153, -0.875372, -0.472668)",
1.064423,"(0.02697, -0.002054, -0.049892)","(0.001697, 0.990201, 0.139641)","(-0.640346, -0.765725, 0.060181)","(0.172611, -0.575466, -0.799402)","(-0.019794, 0.276674, 0.96076)","(0.43858, -0.88927, -0.129793)","(-0.012534, -0.876764, 0.480758)","(0.077304, -0.944266, 0.31998)","(-0.238396, -0.882182, -0.406105)","(0.087702, -0.87758, -0.471341)",1
1.109055,"(0.037402, -0.004622, -0.054863)","(0.006949, 0.990177, 0.139645)","(-0.628647, -0.773529, 0.080342)","(0.157022, -0.573513, -0.804007)","(0.061527, 0.326891, 0.943057)","(0.446971, -0.873915, -0.191023)","(-0.031648, -0.867642, 0.496181)","(0.060295, -0.942138, 0.329759)","(-0.246623, -0.881702, -0.402219)","(0.073332, -0.877607, -0.473739)",
1.154015,"(0.047051, -0.008066, -0.059074)","(0.011822, 0.990131, 0.139645)","(-0.615589, -0.780209, 0.111018)","(0.142707, -0.567817, -0.810691)","(0.147287, 0.375743, 0.914945)","(0.470276, -0.849667, -0.238553)","(-0.050245, -0.85769, 0.511706)","(0.045839, -0.939075, 0.340641)","(-0.253619, -0.880014, -0.401563)","(0.058707, -0.875571, -0.479509)",
1.199051,"(0.055787, -0.012167, -0.062495)","(0.016257, 0.990067, 0.139651)","(-0.599212, -0.785904, 0.152642)","(0.132461, -0.559967, -0.817858)","(0.233156, 0.421087, 0.876541)","(0.505501, -0.817385, -0.276316)","(-0.068272, -0.847163, 0.526928)","(0.034205, -0.935298, 0.352204)","(-0.259023, -0.877325, -0.403989)","(0.043902, -0.871626, -0.488202)",
1.244522,"(0.063385, -0.016525, -0.065055)","(0.020131, 0.989996, 0.139652)","(-0.578095, -0.790236, 0.203305)","(0.128637, -0.553214, -0.823047)","(0.314085, 0.457919, 0.831662)","(0.549562, -0.777737, -0.305135)","(-0.085561, -0.836805, 0.540775)","(0.025767, -0.931265, 0.36343)","(-0.262429, -0.873932, -0.409114)","(0.029115, -0.866114, -0.498997)",
1.290482,"(0.069763, -0.02076, -0.066746)","(0.023404, 0.989924, 0.139653)","(-0.55066, -0.793458, 0.259225)","(0.133907, -0.549679, -0.824574)","(0.386577, 0.483278, 0.785494)","(0.598808, -0.731478, -0.326143)","(-0.102112, -0.827198, 0.552554)","(0.02067, -0.927406, 0.373484)","(-0.263551, -0.87011, -0.416473)","(0.014386, -0.859424, -0.51106)",
1.335716,"(0.074808, -0.024463, -0.067542)","(0.026012, 0.989859, 0.139655)","(-0.518215, -0.795087, 0.315102)","(0.150402, -0.549949, -0.821544)","(0.449519, 0.493525, 0.744558)","(0.649047, -0.681011, -0.339061)","(-0.117767, -0.819098, 0.561436)","(0.01965, -0.924209, 0.381382)","(-0.262174, -0.8662, -0.425397)","(-0.000764, -0.852096, -0.523384)",
