time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.333667,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(0.964033, 0.0772708, -0.254304)","(-0.0935999, 0.994213, -0.0527293)","(0.248757, 0.0746365, 0.965686)","(0.912475, 0.0644764, -0.40402)","(-0.0935999, 0.994213, -0.0527293)","(0.398282, 0.0859314, 0.913229)","(-0.0935999, 0.994213, -0.0527293)","(0.22662, -0.97093, 0.0770587)","(0.0419801, -0.809655, 0.585403)","(0.980633, 0.119669, -0.155043)","(-0.382618, 0.602191, 0.700692)","(-0.0301105, -0.994016, -0.105)","(0.0144161, -0.99983, -0.0114654)","(-0.023021, -0.903892, -0.427142)","(0.169271, -0.908179, -0.382829)",0
0.367033,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(0.96458, 0.0762103, -0.252543)","(-0.0924045, 0.994316, -0.052879)","(0.247078, 0.0743437, 0.96614)","(0.913575, 0.0635388, -0.401676)","(-0.0924045, 0.994316, -0.052879)","(0.396033, 0.0854281, 0.914254)","(-0.0924045, 0.994316, -0.052879)","(0.224728, -0.971174, 0.0794944)","(0.0400595, -0.809589, 0.585629)","(0.982104, 0.117005, -0.147587)","(-0.38346, 0.602885, 0.699635)","(-0.0296723, -0.9941, -0.104335)","(0.0144895, -0.999832, -0.0112185)","(-0.0232612, -0.903813, -0.427295)","(0.167936, -0.906971, -0.386265)",0
0.4004,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(0.965126, 0.0750406, -0.2508)","(-0.0911594, 0.994411, -0.0532681)","(0.245401, 0.0742752, 0.966572)","(0.914761, 0.0624773, -0.399136)","(-0.0911594, 0.994411, -0.0532681)","(0.393577, 0.085116, 0.915343)","(-0.0911594, 0.994411, -0.0532681)","(0.222663, -0.971405, 0.0824193)","(0.0385541, -0.809453, 0.585917)","(0.983376, 0.114044, -0.141303)","(-0.38414, 0.603672, 0.698582)","(-0.029393, -0.99421, -0.10336)","(0.0145168, -0.999835, -0.0109222)","(-0.0234789, -0.903566, -0.427805)","(0.166637, -0.905883, -0.389368)",0
0.433767,"(3.08156e-05, -9.13143e-05, -1.64456e-07)","(0.965708, 0.0732915, -0.249073)","(-0.0895368, 0.99449, -0.0545215)","(0.243705, 0.074955, 0.966949)","(0.916444, 0.0608289, -0.395512)","(-0.0895368, 0.99449, -0.0545215)","(0.390017, 0.0853842, 0.916841)","(-0.0895368, 0.99449, -0.0545215)","(0.219957, -0.971703, 0.0861002)","(0.0355545, -0.809394, 0.586189)","(0.984219, 0.111448, -0.137448)","(-0.38436, 0.604437, 0.697799)","(-0.0291539, -0.994363, -0.101946)","(0.0145896, -0.999839, -0.010411)","(-0.0237249, -0.903296, -0.428361)","(0.165475, -0.905073, -0.39174)",0
0.467133,"(0.00131664, -0.00164129, -1.70842e-06)","(0.966226, 0.0714859, -0.247582)","(-0.0879273, 0.994552, -0.055991)","(0.242232, 0.0758714, 0.967247)","(0.917932, 0.0590693, -0.392317)","(-0.0879273, 0.994552, -0.055991)","(0.386873, 0.0858975, 0.918124)","(-0.0879273, 0.994552, -0.0559911)","(0.217185, -0.972026, 0.0894221)","(0.0325886, -0.809089, 0.586782)","(0.984876, 0.109064, -0.134625)","(-0.384069, 0.605178, 0.697317)","(-0.0289958, -0.994524, -0.10041)","(0.0146741, -0.999845, -0.00969717)","(-0.0242405, -0.902985, -0.428987)","(0.16443, -0.904397, -0.393737)",0
0.5005,"(0.00131664, -0.00164129, -1.70842e-06)","(0.966668, 0.0695485, -0.246407)","(-0.0862456, 0.994606, -0.0576203)","(0.241072, 0.0769525, 0.967452)","(0.919154, 0.0571252, -0.389734)","(-0.0862456, 0.994606, -0.0576203)","(0.384341, 0.0865767, 0.919123)","(-0.0862456, 0.994606, -0.0576203)","(0.213873, -0.972497, 0.0922424)","(0.0296015, -0.80837, 0.58793)","(0.985401, 0.107468, -0.13204)","(-0.383384, 0.605762, 0.697187)","(-0.0288963, -0.994696, -0.0987199)","(0.0147765, -0.999851, -0.00895569)","(-0.0250998, -0.902946, -0.429021)","(0.163632, -0.904058, -0.394846)",0
0.533867,"(0.00131664, -0.00164129, -1.70842e-06)","(0.967047, 0.0679551, -0.24536)","(-0.0848926, 0.994635, -0.0591188)","(0.240027, 0.0780008, 0.967627)","(0.920017, 0.0554673, -0.387932)","(-0.0848926, 0.994635, -0.0591188)","(0.382572, 0.0873247, 0.91979)","(-0.0848926, 0.994635, -0.0591188)","(0.210107, -0.973117, 0.0943359)","(0.0279175, -0.807436, 0.589294)","(0.985981, 0.10517, -0.12954)","(-0.382538, 0.606393, 0.697103)","(-0.0288836, -0.994867, -0.0969805)","(0.0148232, -0.999857, -0.00812153)","(-0.0267356, -0.903122, -0.428551)","(0.162804, -0.903771, -0.395844)",0
0.567233,"(0.00131664, -0.00164129, -1.70842e-06)","(0.967369, 0.066701, -0.244434)","(-0.0838389, 0.994648, -0.0603832)","(0.239099, 0.0789068, 0.967784)","(0.920615, 0.0541236, -0.386703)","(-0.0838389, 0.994648, -0.0603832)","(0.381365, 0.0880119, 0.920225)","(-0.0838389, 0.994648, -0.0603832)","(0.205902, -0.973867, 0.0958531)","(0.0272308, -0.806435, 0.590695)","(0.986534, 0.10288, -0.127146)","(-0.38123, 0.607001, 0.69729)","(-0.0289516, -0.995061, -0.0949479)","(0.0148603, -0.999864, -0.00721165)","(-0.0289124, -0.903358, -0.427911)","(0.161907, -0.903469, -0.396901)",0
0.6006,"(0.00131664, -0.00164129, -1.70842e-06)","(0.967667, 0.0657493, -0.243511)","(-0.0830037, 0.994664, -0.061277)","(0.238183, 0.0795085, 0.96796)","(0.921077, 0.0530989, -0.385743)","(-0.0830037, 0.994664, -0.061277)","(0.380431, 0.088459, 0.920569)","(-0.0830037, 0.994664, -0.061277)","(0.201774, -0.974616, 0.0970084)","(0.0272257, -0.805589, 0.59185)","(0.987137, 0.100393, -0.124425)","(-0.379914, 0.607566, 0.697516)","(-0.0290559, -0.995226, -0.093176)","(0.0148753, -0.999872, -0.00594782)","(-0.031206, -0.903396, -0.427671)","(0.160819, -0.903043, -0.398311)",0
0.633967,"(0.00131664, -0.00164129, -1.70842e-06)","(0.96788, 0.0650834, -0.242841)","(-0.0823473, 0.994697, -0.0616206)","(0.237543, 0.0796389, 0.968107)","(0.921076, 0.0523495, -0.385848)","(-0.0823473, 0.994697, -0.0616206)","(0.380576, 0.0885306, 0.920502)","(-0.0823473, 0.994697, -0.0616206)","(0.198614, -0.975207, 0.0975885)","(0.0276729, -0.804732, 0.592992)","(0.987514, 0.0988342, -0.122669)","(-0.377936, 0.608402, 0.697862)","(-0.0292775, -0.995342, -0.0918497)","(0.0148224, -0.999879, -0.00462955)","(-0.0332458, -0.903184, -0.427964)","(0.159625, -0.902626, -0.399733)",0
