time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.333333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992448, 0.00213745, 0.122648)","(-0.020176, 0.989074, 0.14603)","(-0.120996, -0.147401, 0.981648)","(0.999115, 0.0253461, -0.0335739)","(-0.020176, 0.989074, 0.14603)","(0.0369092, -0.145222, 0.98871)","(-0.020176, 0.989074, 0.14603)","(-0.382888, -0.881107, -0.277573)","(0.383028, -0.891734, -0.241039)","(0.626543, -0.732222, 0.267012)","(-0.539309, -0.789128, 0.293978)","(0.103537, -0.993134, 0.0544593)","(-0.215605, -0.968587, 0.123912)","(0.172492, -0.967681, -0.183954)","(0.107806, -0.945912, -0.305988)",0
0.366667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992486, 0.00209577, 0.12234)","(-0.0204433, 0.988639, 0.148915)","(-0.120638, -0.150297, 0.981253)","(0.998982, 0.0261965, -0.0367365)","(-0.0204433, 0.988639, 0.148915)","(0.0402208, -0.148011, 0.988168)","(-0.0204433, 0.988639, 0.148915)","(-0.380805, -0.880568, -0.282113)","(0.382277, -0.891079, -0.244627)","(0.630022, -0.731062, 0.261956)","(-0.541118, -0.790974, 0.28557)","(0.103566, -0.993139, 0.0543023)","(-0.216029, -0.968449, 0.124253)","(0.17226, -0.967821, -0.183437)","(0.108116, -0.945932, -0.305816)",0
0.4,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992513, 0.00214983, 0.122124)","(-0.0207234, 0.988313, 0.151025)","(-0.120372, -0.152425, 0.980957)","(0.998887, 0.026869, -0.0387574)","(-0.0207234, 0.988313, 0.151025)","(0.0423627, -0.150054, 0.98777)","(-0.0207234, 0.988313, 0.151025)","(-0.378934, -0.880427, -0.285057)","(0.381796, -0.89049, -0.247506)","(0.632306, -0.730405, 0.258258)","(-0.542664, -0.792028, 0.279657)","(0.103491, -0.993156, 0.0541379)","(-0.216366, -0.968375, 0.124244)","(0.172225, -0.967896, -0.183074)","(0.108429, -0.946005, -0.30548)",0
0.433333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992533, 0.00227677, 0.121958)","(-0.0209822, 0.988109, 0.152314)","(-0.120161, -0.153736, 0.980779)","(0.998848, 0.0272926, -0.0394576)","(-0.0209822, 0.988109, 0.152314)","(0.0431456, -0.151311, 0.987544)","(-0.0209822, 0.988109, 0.152314)","(-0.377287, -0.880508, -0.286985)","(0.381614, -0.889961, -0.24968)","(0.633446, -0.730188, 0.25607)","(-0.543956, -0.792605, 0.275482)","(0.103228, -0.993192, 0.0539798)","(-0.216592, -0.968373, 0.123865)","(0.172391, -0.967939, -0.182691)","(0.108561, -0.946257, -0.304651)",0
0.466667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992542, 0.00245559, 0.12188)","(-0.021181, 0.988064, 0.152583)","(-0.12005, -0.154027, 0.980747)","(0.998862, 0.0274365, -0.0390082)","(-0.021181, 0.988064, 0.152583)","(0.0427289, -0.151584, 0.98752)","(-0.021181, 0.988064, 0.152583)","(-0.376156, -0.880734, -0.287775)","(0.381694, -0.889673, -0.250584)","(0.634104, -0.729975, 0.255044)","(-0.544656, -0.792272, 0.275055)","(0.102849, -0.993238, 0.0538568)","(-0.216794, -0.96833, 0.123842)","(0.172632, -0.968043, -0.18191)","(0.108645, -0.946946, -0.302474)",0
0.5,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992541, 0.00255038, 0.121885)","(-0.0212734, 0.988065, 0.152561)","(-0.120041, -0.154016, 0.980749)","(0.998902, 0.027376, -0.0380091)","(-0.0212734, 0.988065, 0.152561)","(0.0417319, -0.151585, 0.987563)","(-0.0212734, 0.988065, 0.152561)","(-0.375494, -0.880878, -0.288198)","(0.382124, -0.889347, -0.251083)","(0.634382, -0.729744, 0.255015)","(-0.545312, -0.791687, 0.27544)","(0.102376, -0.993292, 0.0537666)","(-0.217006, -0.968257, 0.124044)","(0.172903, -0.968158, -0.181039)","(0.108727, -0.947774, -0.299839)",0
0.533333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992534, 0.0026668, 0.12194)","(-0.0213482, 0.988126, 0.152154)","(-0.120086, -0.153621, 0.980806)","(0.998953, 0.027241, -0.036749)","(-0.0213482, 0.988126, 0.152154)","(0.0404575, -0.15121, 0.987673)","(-0.0213482, 0.988126, 0.152154)","(-0.375183, -0.881034, -0.288127)","(0.382806, -0.889091, -0.250952)","(0.634484, -0.729403, 0.255736)","(-0.545825, -0.790807, 0.276948)","(0.101928, -0.993341, 0.0537043)","(-0.217221, -0.968131, 0.124649)","(0.173146, -0.968277, -0.180169)","(0.108853, -0.948523, -0.297415)",0
0.566667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992533, 0.00277853, 0.121946)","(-0.0214286, 0.988164, 0.151895)","(-0.120081, -0.153373, 0.980845)","(0.998983, 0.0271903, -0.0359562)","(-0.0214286, 0.988164, 0.151895)","(0.0396607, -0.15097, 0.987742)","(-0.0214286, 0.988164, 0.151895)","(-0.374871, -0.881263, -0.287831)","(0.383475, -0.888885, -0.250659)","(0.63464, -0.728998, 0.256504)","(-0.54624, -0.789777, 0.279059)","(0.101516, -0.993386, 0.053652)","(-0.217447, -0.968005, 0.125231)","(0.173386, -0.968334, -0.179632)","(0.108915, -0.948995, -0.29588)",0
0.6,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992535, 0.00287076, 0.12193)","(-0.021494, 0.988193, 0.151699)","(-0.120055, -0.153188, 0.980877)","(0.999, 0.0271778, -0.0354933)","(-0.021494, 0.988193, 0.151699)","(0.0391971, -0.150785, 0.987789)","(-0.021494, 0.988193, 0.151699)","(-0.374568, -0.881491, -0.287527)","(0.38394, -0.888771, -0.25035)","(0.634804, -0.728639, 0.257117)","(-0.546409, -0.788784, 0.281524)","(0.101027, -0.993439, 0.0536035)","(-0.217663, -0.967879, 0.125828)","(0.173644, -0.968411, -0.178962)","(0.108904, -0.949518, -0.294203)",0
0.633333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992544, 0.00296081, 0.121848)","(-0.0215186, 0.988258, 0.151271)","(-0.11997, -0.152765, 0.980954)","(0.999011, 0.0271449, -0.0352261)","(-0.0215186, 0.988258, 0.151271)","(0.0389187, -0.150363, 0.987864)","(-0.0215186, 0.988258, 0.151271)","(-0.374398, -0.881775, -0.286879)","(0.384364, -0.888817, -0.249538)","(0.634883, -0.728321, 0.257821)","(-0.546355, -0.787478, 0.285263)","(0.100564, -0.993488, 0.0535575)","(-0.217844, -0.96777, 0.126351)","(0.173856, -0.968501, -0.178267)","(0.108849, -0.950031, -0.292562)",0
0.666667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992553, 0.00309829, 0.121775)","(-0.0215349, 0.988394, 0.150376)","(-0.119896, -0.151879, 0.9811)","(0.999021, 0.0270874, -0.034972)","(-0.0215349, 0.988394, 0.150376)","(0.0386395, -0.149476, 0.98801)","(-0.0215349, 0.988394, 0.150376)","(-0.37429, -0.882113, -0.285978)","(0.384766, -0.888948, -0.248448)","(0.634923, -0.727902, 0.258905)","(-0.546357, -0.786334, 0.288398)","(0.10019, -0.993528, 0.0535258)","(-0.218028, -0.967682, 0.126708)","(0.174, -0.968576, -0.177722)","(0.108908, -0.950336, -0.291549)",0
0.7,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992558, 0.00329516, 0.121725)","(-0.0215535, 0.988604, 0.148987)","(-0.119848, -0.150501, 0.981318)","(0.999055, 0.0269254, -0.0341256)","(-0.0215535, 0.988604, 0.148987)","(0.0377483, -0.14811, 0.98825)","(-0.0215535, 0.988604, 0.148987)","(-0.374272, -0.882688, -0.284221)","(0.385154, -0.889247, -0.246771)","(0.634905, -0.727337, 0.26053)","(-0.546142, -0.784755, 0.293067)","(0.0999408, -0.993555, 0.0534889)","(-0.218252, -0.967576, 0.127136)","(0.174118, -0.968618, -0.177378)","(0.109095, -0.950474, -0.291029)",0
0.733333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992551, 0.00347816, 0.12178)","(-0.0215738, 0.988813, 0.147592)","(-0.119905, -0.14912, 0.981522)","(0.999104, 0.0267023, -0.0328439)","(-0.0215738, 0.988813, 0.147592)","(0.0364175, -0.146751, 0.988503)","(-0.0215737, 0.988813, 0.147592)","(-0.374253, -0.883299, -0.282342)","(0.385486, -0.889514, -0.245285)","(0.634904, -0.726687, 0.262341)","(-0.545895, -0.783162, 0.297752)","(0.0997483, -0.993575, 0.0534703)","(-0.218562, -0.9674, 0.127936)","(0.174241, -0.968647, -0.177096)","(0.109373, -0.950599, -0.290517)",0
0.766667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.99254, 0.00366359, 0.121863)","(-0.0215991, 0.989021, 0.146186)","(-0.119989, -0.147728, 0.981722)","(0.999162, 0.0264391, -0.0312383)","(-0.0215991, 0.989021, 0.146186)","(0.0347604, -0.145389, 0.988764)","(-0.0215991, 0.989021, 0.146186)","(-0.374263, -0.884, -0.280128)","(0.385815, -0.889883, -0.243422)","(0.634819, -0.726092, 0.264188)","(-0.545676, -0.781608, 0.302204)","(0.0995437, -0.993597, 0.0534512)","(-0.218884, -0.967207, 0.128843)","(0.174363, -0.968669, -0.176857)","(0.10965, -0.950724, -0.290002)",0
0.8,"(0.00108978, 0.00704708, -9.45483e-06)","(0.99252, 0.00381469, 0.12202)","(-0.0216245, 0.989199, 0.144972)","(-0.120149, -0.146526, 0.981883)","(0.999214, 0.0262061, -0.0297594)","(-0.0216245, 0.989199, 0.144972)","(0.0332371, -0.144214, 0.988988)","(-0.0216245, 0.989199, 0.144972)","(-0.374241, -0.884566, -0.278367)","(0.38612, -0.890171, -0.241882)","(0.634762, -0.725512, 0.265914)","(-0.545675, -0.780526, 0.304989)","(0.0994265, -0.993608, 0.0534607)","(-0.219244, -0.966958, 0.130092)","(0.174423, -0.968702, -0.176617)","(0.109978, -0.950764, -0.289746)",0
0.833333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992499, 0.00401676, 0.122187)","(-0.0216453, 0.989443, 0.143295)","(-0.120321, -0.144865, 0.982108)","(0.999263, 0.0259572, -0.0282773)","(-0.0216453, 0.989443, 0.143295)","(0.0316984, -0.142578, 0.989276)","(-0.0216453, 0.989443, 0.143295)","(-0.374294, -0.88531, -0.275918)","(0.38644, -0.890687, -0.239458)","(0.634723, -0.724807, 0.267921)","(-0.545642, -0.779209, 0.308396)","(0.099349, -0.993615, 0.053475)","(-0.219621, -0.966719, 0.131228)","(0.17446, -0.968726, -0.176446)","(0.110393, -0.950713, -0.289757)",0
0.866667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992476, 0.0041871, 0.122365)","(-0.0216605, 0.989655, 0.14182)","(-0.120506, -0.143404, 0.9823)","(0.999301, 0.0257566, -0.027102)","(-0.0216605, 0.989655, 0.14182)","(0.0304745, -0.141134, 0.989521)","(-0.0216605, 0.989655, 0.14182)","(-0.37431, -0.885959, -0.273805)","(0.38671, -0.891176, -0.237195)","(0.634716, -0.724118, 0.269794)","(-0.54554, -0.777728, 0.312289)","(0.0992836, -0.993621, 0.0534848)","(-0.21999, -0.966507, 0.132171)","(0.174515, -0.968733, -0.176356)","(0.110829, -0.950629, -0.289865)",0
0.9,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992455, 0.0043427, 0.122529)","(-0.0216762, 0.989845, 0.14049)","(-0.120674, -0.142086, 0.982471)","(0.999326, 0.0256138, -0.0262783)","(-0.0216762, 0.989845, 0.14049)","(0.0296099, -0.139826, 0.989733)","(-0.0216762, 0.989845, 0.14049)","(-0.37433, -0.886518, -0.271963)","(0.386876, -0.891688, -0.234988)","(0.634733, -0.723482, 0.271455)","(-0.545497, -0.776204, 0.316134)","(0.099211, -0.993629, 0.0534625)","(-0.220304, -0.966359, 0.132728)","(0.17459, -0.968736, -0.176265)","(0.11119, -0.95058, -0.289886)",0
0.933333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992436, 0.00447632, 0.122679)","(-0.0217003, 0.989994, 0.139427)","(-0.120827, -0.141035, 0.982604)","(0.999351, 0.02549, -0.0254458)","(-0.0217003, 0.989994, 0.139428)","(0.0287452, -0.138785, 0.989905)","(-0.0217003, 0.989994, 0.139428)","(-0.374214, -0.886797, -0.271209)","(0.386981, -0.892051, -0.233431)","(0.634562, -0.722919, 0.273349)","(-0.545527, -0.775304, 0.318283)","(0.0991325, -0.993638, 0.0534378)","(-0.220534, -0.966259, 0.13307)","(0.174678, -0.968742, -0.176143)","(0.11142, -0.950596, -0.289746)",0
0.966667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992414, 0.00457918, 0.122853)","(-0.0217172, 0.99012, 0.138528)","(-0.121005, -0.140145, 0.982709)","(0.999378, 0.0253499, -0.0245071)","(-0.0217172, 0.99012, 0.138528)","(0.0277767, -0.137909, 0.990055)","(-0.0217172, 0.99012, 0.138528)","(-0.37406, -0.886959, -0.270894)","(0.387168, -0.892263, -0.232311)","(0.634299, -0.7224, 0.275323)","(-0.545679, -0.774656, 0.319598)","(0.0990856, -0.993644, 0.0534147)","(-0.220765, -0.966164, 0.133381)","(0.174756, -0.968753, -0.176004)","(0.111636, -0.950632, -0.289546)",0
1,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992393, 0.00467267, 0.123023)","(-0.0217332, 0.990235, 0.137704)","(-0.121179, -0.139331, 0.982804)","(0.999406, 0.0252056, -0.0235214)","(-0.0217332, 0.990235, 0.137704)","(0.0267626, -0.137111, 0.990194)","(-0.0217332, 0.990235, 0.137704)","(-0.373849, -0.887064, -0.270841)","(0.387489, -0.89237, -0.231362)","(0.633958, -0.72198, 0.277204)","(-0.545745, -0.774157, 0.320692)","(0.0990556, -0.993648, 0.0534015)","(-0.220968, -0.966085, 0.133612)","(0.174829, -0.968768, -0.175849)","(0.111822, -0.950714, -0.289204)",0
1.03333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992358, 0.00470707, 0.123303)","(-0.0217467, 0.990302, 0.137216)","(-0.121462, -0.138849, 0.982837)","(0.99943, 0.0250781, -0.0225942)","(-0.0217467, 0.990302, 0.137216)","(0.0258162, -0.136646, 0.990283)","(-0.0217467, 0.990302, 0.137216)","(-0.373616, -0.88714, -0.270911)","(0.38787, -0.892404, -0.230593)","(0.633621, -0.72168, 0.278753)","(-0.545705, -0.773353, 0.322695)","(0.0990073, -0.993657, 0.0533197)","(-0.221205, -0.966009, 0.133771)","(0.174922, -0.968787, -0.175655)","(0.112071, -0.95082, -0.288757)",0
1.06667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.99231, 0.00470972, 0.123686)","(-0.0217558, 0.990355, 0.136833)","(-0.121849, -0.138472, 0.982842)","(0.999455, 0.0249448, -0.0216316)","(-0.0217558, 0.990355, 0.136833)","(0.0248363, -0.136288, 0.990358)","(-0.0217558, 0.990355, 0.136833)","(-0.373389, -0.887224, -0.270951)","(0.388215, -0.892512, -0.22959)","(0.633207, -0.721518, 0.280108)","(-0.545484, -0.772459, 0.325199)","(0.0989416, -0.993673, 0.0531462)","(-0.22148, -0.965933, 0.133866)","(0.17503, -0.968808, -0.17543)","(0.112375, -0.950936, -0.288259)",0
1.1,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992261, 0.0047035, 0.124083)","(-0.0217665, 0.990398, 0.13652)","(-0.122249, -0.138164, 0.982836)","(0.999476, 0.0248276, -0.0207592)","(-0.0217665, 0.990398, 0.13652)","(0.0239493, -0.135996, 0.99042)","(-0.0217665, 0.990398, 0.13652)","(-0.373161, -0.88729, -0.27105)","(0.388616, -0.892598, -0.228575)","(0.632763, -0.721386, 0.281448)","(-0.545272, -0.7716, 0.327586)","(0.0988572, -0.993692, 0.0529424)","(-0.221751, -0.96587, 0.133868)","(0.175171, -0.968822, -0.17521)","(0.112671, -0.951026, -0.287845)",0
1.13333,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992218, 0.00467703, 0.124428)","(-0.0217712, 0.990417, 0.136381)","(-0.122598, -0.138028, 0.982811)","(0.999488, 0.0247615, -0.020268)","(-0.0217712, 0.990417, 0.136381)","(0.0234508, -0.13587, 0.990449)","(-0.0217712, 0.990417, 0.136381)","(-0.372967, -0.887319, -0.27122)","(0.389078, -0.892587, -0.227831)","(0.632459, -0.721346, 0.282235)","(-0.545365, -0.771078, 0.328657)","(0.0987852, -0.99371, 0.0527518)","(-0.22199, -0.96582, 0.13384)","(0.175328, -0.968819, -0.175073)","(0.112931, -0.951056, -0.287643)",0
1.16667,"(0.00108978, 0.00704708, -9.45483e-06)","(0.992185, 0.004622, 0.124686)","(-0.0217552, 0.990415, 0.136402)","(-0.122861, -0.138049, 0.982776)","(0.999499, 0.0246817, -0.0198003)","(-0.0217552, 0.990415, 0.136402)","(0.0229772, -0.135903, 0.990456)","(-0.0217552, 0.990415, 0.136402)","(-0.372881, -0.887262, -0.271527)","(0.389837, -0.892438, -0.227118)","(0.63182, -0.721599, 0.283016)","(-0.545592, -0.770414, 0.329834)","(0.098728, -0.993724, 0.0525938)","(-0.222142, -0.965789, 0.133807)","(0.175524, -0.9688, -0.174979)","(0.113124, -0.951077, -0.2875)",0
1.2,"(0.00108978, 0.00704708, -9.45483e-06)","(0.99216, 0.00452562, 0.12489)","(-0.0217424, 0.990355, 0.13684)","(-0.123066, -0.138483, 0.982689)","(0.999508, 0.0246293, -0.0194401)","(-0.0217424, 0.990355, 0.13684)","(0.0226229, -0.13635, 0.990402)","(-0.0217424, 0.990355, 0.13684)","(-0.372821, -0.887234, -0.271699)","(0.390612, -0.892271, -0.226437)","(0.631178, -0.721796, 0.283945)","(-0.545805, -0.769763, 0.331001)","(0.0986729, -0.993739, 0.0524086)","(-0.222248, -0.965781, 0.133687)","(0.175702, -0.968776, -0.174935)","(0.113265, -0.951072, -0.287459)",0
