time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0.68286,"(0.098492, 0.99388, 0.050029)","(-0.586533, -0.651296, -0.48145)","(-0.821523, -0.399849, 0.406474)","(-0.703238, -0.099276, 0.703989)","(-0.916078, 0.342935, -0.207838)","(-0.119566, -0.953065, 0.278157)","(0.280808, -0.792299, 0.541672)","(0.161291, -0.896717, -0.41217)","(-0.174007, -0.805767, -0.566093)"
0.700583,"(0.109137, 0.99108, 0.076485)","(-0.584775, -0.67699, -0.446904)","(-0.773093, -0.459689, 0.43705)","(-0.664914, -0.151909, 0.731309)","(-0.924595, 0.331055, -0.188488)","(-0.092539, -0.957573, 0.272931)","(0.243522, -0.814659, 0.526335)","(0.126008, -0.911133, -0.392375)","(-0.102702, -0.813869, -0.5719)"
0.718221,"(0.119013, 0.98779, 0.100537)","(-0.585533, -0.696511, -0.414757)","(-0.714231, -0.514512, 0.474501)","(-0.620251, -0.20014, 0.758441)","(-0.934114, 0.318353, -0.161502)","(-0.071648, -0.960778, 0.267902)","(0.211935, -0.834573, 0.508499)","(0.096596, -0.922388, -0.373991)","(-0.037119, -0.820603, -0.570292)"
0.736189,"(0.128323, 0.984234, 0.121725)","(-0.589948, -0.710213, -0.384134)","(-0.644772, -0.562738, 0.517296)","(-0.567918, -0.242794, 0.78646)","(-0.944282, 0.30322, -0.128018)","(-0.057063, -0.9623, 0.265936)","(0.186977, -0.851628, 0.489662)","(0.072393, -0.930378, -0.359382)","(0.023983, -0.826624, -0.562243)"
0.754093,"(0.13726, 0.980455, 0.140956)","(-0.596816, -0.720219, -0.353688)","(-0.563586, -0.606326, 0.561017)","(-0.508635, -0.277562, 0.815015)","(-0.954185, 0.28595, -0.088114)","(-0.046444, -0.96218, 0.268427)","(0.166869, -0.86608, 0.471233)","(0.052627, -0.935284, -0.349964)","(0.077826, -0.830616, -0.55138)"
0.77215,"(0.145606, 0.976686, 0.157744)","(-0.605722, -0.726904, -0.323592)","(-0.473332, -0.643445, 0.601611)","(-0.444222, -0.301796, 0.843556)","(-0.962717, 0.267076, -0.04298)","(-0.039441, -0.96015, 0.276688)","(0.151192, -0.876576, 0.456899)","(0.038065, -0.936924, -0.347455)","(0.120033, -0.832175, -0.541365)"
0.789902,"(0.153436, 0.972949, 0.172707)","(-0.614873, -0.732084, -0.293231)","(-0.37468, -0.675837, 0.634712)","(-0.376572, -0.3129, 0.871944)","(-0.968787, 0.247831, 0.005593)","(-0.032694, -0.956107, 0.29119)","(0.136078, -0.88355, 0.448132)","(0.024891, -0.935468, -0.352533)","(0.155181, -0.83111, -0.534018)"
0.80766,"(0.160556, 0.969428, 0.185554)","(-0.623612, -0.736048, -0.263328)","(-0.271668, -0.701961, 0.658367)","(-0.30808, -0.309646, 0.899559)","(-0.971794, 0.229199, 0.05554)","(-0.0249, -0.949992, 0.31128)","(0.119778, -0.886527, 0.446904)","(0.011921, -0.931033, -0.36474)","(0.18363, -0.827536, -0.530533)"
0.843112,"(0.173035, 0.962954, 0.206832)","(-0.63687, -0.744016, -0.202083)","(-0.059886, -0.746751, 0.662403)","(-0.170258, -0.258274, 0.95095)","(-0.967443, 0.200627, 0.154281)","(-0.006082, -0.932229, 0.361818)","(0.08338, -0.887006, 0.454168)","(-0.021662, -0.913448, -0.40638)","(0.229716, -0.813277, -0.534613)"
0.878633,"(0.183182, 0.957399, 0.223231)","(-0.640681, -0.756231, -0.132827)","(0.155531, -0.772268, 0.615965)","(-0.035328, -0.148926, 0.988217)","(-0.949412, 0.180324, 0.257099)","(0.015437, -0.908363, 0.417898)","(0.04285, -0.881437, 0.470354)","(-0.071577, -0.887097, -0.456)","(0.26856, -0.792336, -0.547795)"
0.914575,"(0.190983, 0.952874, 0.235707)","(-0.631315, -0.774905, -0.031031)","(0.337771, -0.792821, 0.507292)","(0.096925, 0.009282, 0.995248)","(-0.906332, 0.167341, 0.388021)","(0.035227, -0.882599, 0.468805)","(0.000993, -0.872182, 0.48918)","(-0.130789, -0.857218, -0.498068)","(0.301103, -0.771099, -0.56102)"
0.949804,"(0.196403, 0.949444, 0.24491)","(-0.595884, -0.796891, 0.099437)","(0.463499, -0.81959, 0.336809)","(0.209598, 0.190938, 0.958964)","(-0.823495, 0.161917, 0.543726)","(0.047171, -0.861894, 0.50489)","(-0.037848, -0.863859, 0.50231)","(-0.188484, -0.829396, -0.525905)","(0.322966, -0.756829, -0.568245)"
0.967603,"(0.198244, 0.948134, 0.24848)","(-0.565519, -0.80922, 0.15922)","(0.494961, -0.838497, 0.227894)","(0.255007, 0.283928, 0.924314)","(-0.761382, 0.158173, 0.628712)","(0.048108, -0.854715, 0.516864)","(-0.05543, -0.860974, 0.50562)","(-0.214071, -0.817851, -0.534129)","(0.328462, -0.754082, -0.568747)"
1.003234,"(0.200212, 0.946298, 0.253842)","(-0.478741, -0.830296, 0.285335)","(0.509416, -0.860514, 0.003423)","(0.319442, 0.454303, 0.831604)","(-0.599643, 0.128339, 0.78991)","(0.038479, -0.847566, 0.529293)","(-0.089364, -0.856334, 0.508631)","(-0.257203, -0.79994, -0.542165)","(0.323306, -0.755811, -0.569406)"
1.038743,"(0.199903, 0.945472, 0.257142)","(-0.36347, -0.833953, 0.415226)","(0.469311, -0.854231, -0.223688)","(0.35911, 0.577641, 0.733056)","(-0.401741, 0.043698, 0.91471)","(0.015263, -0.84846, 0.529039)","(-0.119792, -0.855407, 0.503914)","(-0.284123, -0.79051, -0.542557)","(0.300334, -0.76815, -0.56546)"
1.074228,"(0.197353, 0.945612, 0.258591)","(-0.256105, -0.817108, 0.516474)","(0.416827, -0.804462, -0.423198)","(0.408669, 0.629885, 0.66048)","(-0.19348, -0.1065, 0.975307)","(-0.009836, -0.850296, 0.526213)","(-0.140996, -0.861929, 0.487031)","(-0.269447, -0.789918, -0.550842)","(0.269666, -0.791246, -0.548826)"
1.109732,"(0.192456, 0.946655, 0.258468)","(-0.156948, -0.794611, 0.586482)","(0.364396, -0.72923, -0.579171)","(0.47274, 0.62963, 0.616509)","(0.020729, -0.301029, 0.95339)","(-0.039638, -0.853828, 0.519043)","(-0.150501, -0.876694, 0.456899)","(-0.218359, -0.799972, -0.558896)","(0.235285, -0.822807, -0.517329)"
1.145241,"(0.185263, 0.948567, 0.256707)","(-0.068508, -0.76998, 0.63438)","(0.319268, -0.658838, -0.681176)","(0.546228, 0.598754, 0.585772)","(0.22478, -0.472284, 0.852304)","(-0.075559, -0.859232, 0.505975)","(-0.149364, -0.896918, 0.416207)","(-0.149545, -0.818367, -0.554898)","(0.196163, -0.858071, -0.474588)"
1.180868,"(0.175693, 0.951365, 0.253056)","(0.017241, -0.737421, 0.675213)","(0.284039, -0.59773, -0.749693)","(0.617591, 0.56582, 0.546287)","(0.412549, -0.569384, 0.71106)","(-0.113256, -0.863047, 0.492263)","(-0.142179, -0.918186, 0.369756)","(-0.074742, -0.838471, -0.539796)","(0.154227, -0.891253, -0.426477)"
1.216754,"(0.163726, 0.955042, 0.247163)","(0.103456, -0.693433, 0.713055)","(0.260264, -0.536212, -0.802957)","(0.679472, 0.546042, 0.490058)","(0.57721, -0.584548, 0.570204)","(-0.14697, -0.860138, 0.488429)","(-0.133082, -0.935324, 0.327808)","(0.00627, -0.855061, -0.51849)","(0.113434, -0.916595, -0.383387)"
1.234591,"(0.156814, 0.95721, 0.243227)","(0.148586, -0.667956, 0.729217)","(0.252501, -0.503523, -0.826262)","(0.705068, 0.542758, 0.456392)","(0.650219, -0.565007, 0.507919)","(-0.161292, -0.856317, 0.490618)","(-0.129728, -0.941275, 0.311723)","(0.051462, -0.86002, -0.507659)","(0.094814, -0.925134, -0.36761)"
1.27001,"(0.141562, 0.962044, 0.233304)","(0.234497, -0.605316, 0.76066)","(0.247566, -0.438873, -0.863772)","(0.745866, 0.547178, 0.379843)","(0.770247, -0.489268, 0.409068)","(-0.190114, -0.84373, 0.501972)","(-0.124458, -0.947139, 0.2957)","(0.13099, -0.860147, -0.49294)","(0.068699, -0.932989, -0.353287)"
1.305212,"(0.124136, 0.967586, 0.219928)","(0.325415, -0.534304, 0.780144)","(0.259912, -0.378272, -0.888457)","(0.771494, 0.561418, 0.299343)","(0.854978, -0.386907, 0.345421)","(-0.230753, -0.820044, 0.523719)","(-0.115746, -0.945138, 0.30548)","(0.197813, -0.851449, -0.4857)","(0.055484, -0.928646, -0.366794)"
1.340285,"(0.104811, 0.973674, 0.202421)","(0.417351, -0.451371, 0.788722)","(0.28951, -0.325779, -0.900029)","(0.786095, 0.577938, 0.219184)","(0.904722, -0.281196, 0.320011)","(-0.285887, -0.785796, 0.548447)","(-0.097337, -0.936326, 0.337371)","(0.270804, -0.836572, -0.476249)","(0.041375, -0.911677, -0.40882)"
1.375658,"(0.083856, 0.980113, 0.179854)","(0.509338, -0.357762, 0.782676)","(0.334057, -0.285247, -0.898354)","(0.793009, 0.591776, 0.1447)","(0.926255, -0.185208, 0.328253)","(-0.350507, -0.745024, 0.567525)","(-0.060475, -0.923564, 0.378646)","(0.350214, -0.816873, -0.458333)","(0.014099, -0.883774, -0.467702)"
1.411356,"(0.060856, 0.98681, 0.150011)","(0.597402, -0.261021, 0.758274)","(0.390329, -0.253521, -0.885082)","(0.79622, 0.601253, 0.067298)","(0.931318, -0.089174, 0.353122)","(-0.418094, -0.701048, 0.577693)","(0.00058, -0.910231, 0.4141)","(0.427367, -0.796338, -0.428023)","(-0.037139, -0.848935, -0.527191)"
1.447335,"(0.036471, 0.993108, 0.111387)","(0.674778, -0.179506, 0.715858)","(0.45102, -0.239492, -0.859782)","(0.798662, 0.601625, -0.01365)","(0.923554, 0.000628, 0.383469)","(-0.476297, -0.660229, 0.580723)","(0.074082, -0.900332, 0.428853)","(0.488898, -0.781468, -0.387669)","(-0.101904, -0.815578, -0.569604)"
