time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
2.514109,"(-0.016563, 0.999855, 0.004093)","(-0.539684, -0.28353, -0.792687)","(-0.842883, -0.055731, 0.535204)","(-0.875729, 0.125606, 0.466179)","(-0.868146, 0.491641, -0.067907)","(-0.330885, -0.917429, 0.220995)","(0.530503, -0.613845, 0.584604)","(0.404814, -0.771791, -0.490372)","(-0.58043, -0.761654, -0.288072)"
2.54952,"(0.009056, 0.9993, -0.036309)","(-0.574229, -0.350449, -0.739896)","(-0.875057, -0.06543, 0.479578)","(-0.846984, 0.144318, 0.511654)","(-0.884351, 0.453236, -0.111803)","(-0.328697, -0.917073, 0.225688)","(0.516818, -0.637558, 0.571331)","(0.405009, -0.781049, -0.475321)","(-0.559484, -0.752734, -0.346944)"
2.567329,"(0.021801, 0.998695, -0.046194)","(-0.586379, -0.389792, -0.710086)","(-0.885267, -0.084761, 0.457294)","(-0.832039, 0.140625, 0.536596)","(-0.890589, 0.434582, -0.134123)","(-0.316297, -0.9192, 0.234578)","(0.501186, -0.653493, 0.56724)","(0.391983, -0.790465, -0.470653)","(-0.535912, -0.752982, -0.381859)"
2.603228,"(0.046859, 0.997894, -0.044864)","(-0.597538, -0.478665, -0.643295)","(-0.89747, -0.153943, 0.41334)","(-0.802176, 0.100503, 0.588568)","(-0.898645, 0.399858, -0.180417)","(-0.270196, -0.927418, 0.25863)","(0.451369, -0.691643, 0.563823)","(0.340015, -0.818066, -0.463852)","(-0.46061, -0.762707, -0.454001)"
2.638693,"(0.071027, 0.99738, -0.013754)","(-0.596056, -0.565777, -0.569749)","(-0.888194, -0.254732, 0.382391)","(-0.767287, 0.023894, 0.640859)","(-0.903382, 0.371615, -0.214018)","(-0.202571, -0.938995, 0.277944)","(0.379409, -0.735794, 0.560942)","(0.261704, -0.853717, -0.450198)","(-0.347414, -0.781376, -0.518416)"
2.674178,"(0.093524, 0.994916, 0.037352)","(-0.588176, -0.637594, -0.497517)","(-0.839355, -0.372025, 0.396335)","(-0.718085, -0.075088, 0.691893)","(-0.912825, 0.348144, -0.213415)","(-0.133698, -0.950662, 0.279939)","(0.298947, -0.78172, 0.547306)","(0.178972, -0.889301, -0.420849)","(-0.207642, -0.801644, -0.560581)"
2.709995,"(0.114371, 0.989408, 0.089388)","(-0.5848, -0.687884, -0.429913)","(-0.743525, -0.489081, 0.456037)","(-0.642601, -0.177929, 0.745255)","(-0.929491, 0.324577, -0.175204)","(-0.080824, -0.959459, 0.270012)","(0.226242, -0.825416, 0.517207)","(0.109916, -0.917443, -0.382383)","(-0.06774, -0.817555, -0.571853)"
2.751632,"(0.133061, 0.982275, 0.132027)","(-0.593392, -0.715761, -0.368203)","(-0.603463, -0.586115, 0.54065)","(-0.537615, -0.262461, 0.801302)","(-0.949622, 0.294266, -0.107824)","(-0.05113, -0.962465, 0.266546)","(0.175966, -0.859609, 0.479696)","(0.061419, -0.933369, -0.353623)","(0.053634, -0.829125, -0.556485)"
2.784991,"(0.150697, 0.97428, 0.167538)","(-0.611707, -0.730292, -0.304119)","(-0.410771, -0.664753, 0.623996)","(-0.400996, -0.310722, 0.861774)","(-0.966965, 0.254623, -0.012059)","(-0.035326, -0.957799, 0.285258)","(0.141706, -0.881476, 0.450467)","(0.02966, -0.936353, -0.349805)","(0.143258, -0.831843, -0.536203)"
2.80294,"(0.158644, 0.970385, 0.182169)","(-0.621263, -0.735012, -0.271644)","(-0.300607, -0.695145, 0.653)","(-0.327167, -0.311946, 0.891993)","(-0.971289, 0.234232, 0.041627)","(-0.027141, -0.951886, 0.305249)","(0.124406, -0.885993, 0.446699)","(0.015613, -0.932546, -0.360713)","(0.176247, -0.828758, -0.531128)"
2.83878,"(0.171683, 0.963671, 0.204606)","(-0.635655, -0.742989, -0.209549)","(-0.085327, -0.74248, 0.664412)","(-0.186531, -0.267442, 0.945347)","(-0.968649, 0.20351, 0.142488)","(-0.008538, -0.934688, 0.355366)","(0.087976, -0.887305, 0.452715)","(-0.016982, -0.916083, -0.400629)","(0.224842, -0.815383, -0.533476)"
2.873973,"(0.182007, 0.958057, 0.22136)","(-0.64079, -0.754306, -0.142865)","(0.129467, -0.768846, 0.62619)","(-0.052502, -0.166027, 0.984723)","(-0.952721, 0.182152, 0.243196)","(0.012636, -0.911609, 0.410864)","(0.048231, -0.882386, 0.468047)","(-0.064334, -0.890822, -0.449775)","(0.263893, -0.795219, -0.545883)"
2.909816,"(0.190082, 0.953413, 0.234249)","(-0.63376, -0.772134, -0.04645)","(0.316307, -0.789993, 0.525225)","(0.079993, -0.013708, 0.996701)","(-0.914015, 0.168586, 0.368994)","(0.032919, -0.885803, 0.462893)","(0.006455, -0.873381, 0.486994)","(-0.122806, -0.861209, -0.493191)","(0.297301, -0.773694, -0.559472)"
2.952493,"(0.195853, 0.949815, 0.243913)","(-0.602135, -0.794052, 0.083153)","(0.452956, -0.814433, 0.362671)","(0.196924, 0.167877, 0.965939)","(-0.836658, 0.162402, 0.523095)","(0.046372, -0.864024, 0.501311)","(-0.033202, -0.864742, 0.501118)","(-0.181668, -0.832583, -0.523261)","(0.321029, -0.758037, -0.567733)"
2.980668,"(0.198471, 0.947959, 0.248963)","(-0.5602, -0.811143, 0.167996)","(0.4989, -0.840467, 0.211459)","(0.261089, 0.297966, 0.918177)","(-0.750767, 0.157111, 0.641611)","(0.04795, -0.853799, 0.51839)","(-0.057987, -0.860595, 0.505978)","(-0.217727, -0.816249, -0.535101)","(0.328956, -0.753914, -0.568684)"
3.007645,"(0.200083, 0.946479, 0.253268)","(-0.492337, -0.828198, 0.267752)","(0.512304, -0.858147, 0.033588)","(0.313018, 0.433788, 0.844895)","(-0.623602, 0.134351, 0.770111)","(0.040662, -0.847918, 0.528566)","(-0.084915, -0.85689, 0.508458)","(-0.252183, -0.80186, -0.541686)","(0.325436, -0.755074, -0.56917)"
3.042401,"(0.199758, 0.945446, 0.257348)","(-0.353117, -0.832892, 0.426145)","(0.464298, -0.851487, -0.243714)","(0.363335, 0.585214, 0.724922)","(-0.382621, 0.032597, 0.92333)","(0.012702, -0.848737, 0.528663)","(-0.122224, -0.855647, 0.502921)","(-0.285203, -0.790133, -0.54254)","(0.297701, -0.769849, -0.564542)"
3.077834,"(0.196929, 0.945684, 0.258652)","(-0.244312, -0.81469, 0.525921)","(0.410837, -0.796804, -0.443077)","(0.414729, 0.63251, 0.654164)","(-0.169822, -0.12649, 0.977323)","(-0.012692, -0.850498, 0.525825)","(-0.142671, -0.863166, 0.484345)","(-0.265086, -0.790392, -0.552278)","(0.265914, -0.794419, -0.546067)"
3.106736,"(0.194677, 0.946137, 0.258699)","(-0.19439, -0.803688, 0.562405)","(0.384648, -0.760429, -0.523253)","(0.444764, 0.635859, 0.630768)","(-0.064183, -0.221051, 0.973148)","(-0.026899, -0.852009, 0.522837)","(-0.148267, -0.869878, 0.470457)","(-0.241955, -0.794645, -0.556773)","(0.249198, -0.809496, -0.531617)"
3.149687,"(0.186028, 0.948353, 0.256946)","(-0.076462, -0.772465, 0.630438)","(0.323018, -0.664908, -0.673466)","(0.539287, 0.602182, 0.588682)","(0.206488, -0.458852, 0.864186)","(-0.072081, -0.858725, 0.507342)","(-0.149819, -0.894914, 0.420338)","(-0.156361, -0.816486, -0.555789)","(0.199979, -0.854788, -0.478901)"
3.167779,"(0.179548, 0.950217, 0.254657)","(-0.014722, -0.750759, 0.660412)","(0.295841, -0.619844, -0.726823)","(0.591618, 0.577451, 0.562618)","(0.34465, -0.54262, 0.766016)","(-0.099275, -0.862056, 0.496995)","(-0.145374, -0.91038, 0.387395)","(-0.103246, -0.831033, -0.546557)","(0.170058, -0.879379, -0.444717)"
3.203677,"(0.168299, 0.953621, 0.249564)","(0.072094, -0.710395, 0.700101)","(0.267459, -0.558625, -0.785114)","(0.658731, 0.551332, 0.511963)","(0.52093, -0.587745, 0.619022)","(-0.135483, -0.861868, 0.488701)","(-0.136347, -0.929768, 0.341966)","(-0.023716, -0.849939, -0.526348)","(0.127649, -0.908628, -0.39762)"
3.239381,"(0.155026, 0.957772, 0.242156)","(0.159892, -0.661419, 0.732776)","(0.251012, -0.495323, -0.831654)","(0.710748, 0.542594, 0.447694)","(0.667086, -0.557814, 0.493802)","(-0.164663, -0.855162, 0.491513)","(-0.129056, -0.942445, 0.30845)","(0.062806, -0.860758, -0.505124)","(0.090541, -0.926803, -0.36447)"
3.292631,"(0.134737, 0.96422, 0.228313)","(0.271661, -0.578294, 0.76927)","(0.250136, -0.413435, -0.875502)","(0.75773, 0.55223, 0.347687)","(0.809141, -0.449271, 0.378744)","(-0.2043, -0.83585, 0.509526)","(-0.121814, -0.947298, 0.296291)","(0.158753, -0.85736, -0.489625)","(0.062203, -0.932703, -0.355241)"
3.312269,"(0.121482, 0.968426, 0.217699)","(0.33834, -0.523173, 0.782187)","(0.263157, -0.370174, -0.89091)","(0.774383, 0.563594, 0.287564)","(0.864163, -0.37152, 0.339404)","(-0.237916, -0.815619, 0.52741)","(-0.113871, -0.944237, 0.308949)","(0.207307, -0.84975, -0.484715)","(0.054024, -0.927004, -0.371141)"
3.347765,"(0.100751, 0.97494, 0.198347)","(0.435855, -0.433504, 0.788736)","(0.297165, -0.316618, -0.900803)","(0.787813, 0.581236, 0.203754)","(0.911053, -0.261007, 0.319151)","(-0.298171, -0.778104, 0.552855)","(-0.09179, -0.934008, 0.345259)","(0.286444, -0.832938, -0.47346)","(0.037231, -0.906902, -0.419694)"
3.383482,"(0.078938, 0.981591, 0.173918)","(0.529393, -0.33618, 0.778926)","(0.34581, -0.277299, -0.896393)","(0.794021, 0.594234, 0.128129)","(0.928548, -0.164137, 0.332954)","(-0.365534, -0.735408, 0.570579)","(-0.049139, -0.920554, 0.387512)","(0.367812, -0.812244, -0.45274)","(0.00517, -0.87649, -0.481392)"
3.401181,"(0.067542, 0.984925, 0.159252)","(0.573306, -0.287845, 0.767115)","(0.373647, -0.26123, -0.890027)","(0.79561, 0.599141, 0.089638)","(0.931345, -0.11619, 0.345104)","(-0.399277, -0.713505, 0.575751)","(-0.018947, -0.913858, 0.405593)","(0.406415, -0.801952, -0.437836)","(-0.020189, -0.859135, -0.51135)"
3.436707,"(0.043948, 0.991308, 0.124001)","(0.652756, -0.201604, 0.73025)","(0.432683, -0.24115, -0.868696)","(0.797712, 0.602939, 0.010953)","(0.927083, -0.025015, 0.374021)","(-0.460262, -0.671922, 0.580242)","(0.051691, -0.902881, 0.426771)","(0.472439, -0.785133, -0.40046)","(-0.082189, -0.825017, -0.559099)"
3.472338,"(0.018934, 0.996731, 0.078544)","(0.720949, -0.140006, 0.678698)","(0.492078, -0.246561, -0.834905)","(0.802429, 0.592644, -0.069861)","(0.912223, 0.052781, 0.406281)","(-0.506436, -0.636568, 0.581639)","(0.121144, -0.896003, 0.427204)","(0.518156, -0.776617, -0.358303)","(-0.141548, -0.797944, -0.585875)"
3.507711,"(-0.006713, 0.999643, 0.025846)","(0.777077, -0.111932, 0.619373)","(0.547782, -0.278133, -0.789035)","(0.81111, 0.567205, -0.142759)","(0.889609, 0.11018, 0.443233)","(-0.533633, -0.609166, 0.586646)","(0.169787, -0.893766, 0.415156)","(0.543078, -0.780217, -0.310368)","(-0.17318, -0.783395, -0.59691)"
3.543226,"(-0.032197, 0.999315, -0.018272)","(0.822079, -0.117452, 0.557127)","(0.593228, -0.333111, -0.732883)","(0.826238, 0.527652, -0.197266)","(0.86459, 0.137485, 0.483304)","(-0.523697, -0.624726, 0.579188)","(0.18743, -0.891899, 0.411566)","(0.527093, -0.77283, -0.353423)","(-0.193807, -0.789439, -0.58243)"
3.579201,"(-0.057572, 0.997655, -0.037011)","(0.85625, -0.150658, 0.494103)","(0.625066, -0.408368, -0.665227)","(0.850547, 0.475641, -0.224356)","(0.841372, 0.125882, 0.525592)","(-0.487461, -0.66235, 0.568924)","(0.181316, -0.894485, 0.408681)","(0.479984, -0.768658, -0.422824)","(-0.191514, -0.810172, -0.554026)"
3.614971,"(-0.082497, 0.996197, -0.028025)","(0.88228, -0.209749, 0.421413)","(0.645809, -0.489792, -0.585692)","(0.88448, 0.410889, -0.221057)","(0.819123, 0.074737, 0.568729)","(-0.43168, -0.70793, 0.559006)","(0.155906, -0.902985, 0.400389)","(0.398526, -0.77596, -0.488941)","(-0.162445, -0.841235, -0.515689)"
3.650426,"(-0.106083, 0.99432, 0.008617)","(0.885599, -0.277813, 0.372204)","(0.655988, -0.565913, -0.499422)","(0.922465, 0.336852, -0.18865)","(0.795004, -0.006081, 0.606573)","(-0.363425, -0.755458, 0.545166)","(0.120062, -0.915577, 0.383801)","(0.289667, -0.792434, -0.536789)","(-0.117792, -0.87592, -0.467857)"
3.668218,"(-0.117092, 0.992583, 0.032673)","(0.87594, -0.314173, 0.366095)","(0.659132, -0.597087, -0.4572)","(0.939861, 0.300041, -0.16321)","(0.779814, -0.052546, 0.623803)","(-0.328448, -0.777996, 0.535578)","(0.102881, -0.922131, 0.372948)","(0.231722, -0.802083, -0.550425)","(-0.095084, -0.89194, -0.442044)"
3.70355,"(-0.138048, 0.98703, 0.081947)","(0.835889, -0.387417, 0.388841)","(0.667178, -0.643858, -0.374592)","(0.968618, 0.229717, -0.094922)","(0.737295, -0.148988, 0.658938)","(-0.26254, -0.819813, 0.5089)","(0.074323, -0.93355, 0.350658)","(0.112033, -0.820356, -0.560772)","(-0.052918, -0.918403, -0.392092)"
3.739527,"(-0.156979, 0.979867, 0.123363)","(0.768891, -0.455037, 0.449163)","(0.682013, -0.667882, -0.29798)","(0.984957, 0.172331, -0.012724)","(0.678986, -0.231495, 0.696698)","(-0.211604, -0.856016, 0.471658)","(0.057794, -0.93921, 0.338445)","(-0.002158, -0.831199, -0.555972)","(-0.018782, -0.933544, -0.357969)"
3.775001,"(-0.173961, 0.972282, 0.156223)","(0.669917, -0.522053, 0.527894)","(0.702941, -0.674167, -0.226659)","(0.988075, 0.137717, 0.068868)","(0.60968, -0.284422, 0.739861)","(-0.173123, -0.882593, 0.437101)","(0.050309, -0.936797, 0.346238)","(-0.085323, -0.831905, -0.54832)","(0.007175, -0.937931, -0.346748)"
3.810301,"(-0.188326, 0.965264, 0.181103)","(0.536978, -0.593449, 0.599562)","(0.725115, -0.668981, -0.163319)","(0.981887, 0.137398, 0.130456)","(0.539211, -0.294895, 0.788853)","(-0.132964, -0.893793, 0.428317)","(0.040136, -0.925366, 0.376944)","(-0.135546, -0.8244, -0.549539)","(0.033444, -0.932937, -0.358482)"
3.845614,"(-0.200448, 0.958988, 0.200408)","(0.365991, -0.671271, 0.644551)","(0.746869, -0.65644, -0.106172)","(0.970344, 0.172451, 0.169389)","(0.46932, -0.260131, 0.843843)","(-0.087137, -0.89711, 0.43313)","(0.021572, -0.906262, 0.422166)","(-0.179822, -0.807439, -0.561878)","(0.069892, -0.91735, -0.391899)"
3.880765,"(-0.210242, 0.953666, 0.215218)","(0.165403, -0.749931, 0.640504)","(0.766696, -0.639926, -0.051694)","(0.951054, 0.23223, 0.203876)","(0.398895, -0.185189, 0.898103)","(-0.038212, -0.894087, 0.44626)","(-0.003142, -0.881874, 0.471474)","(-0.22155, -0.784511, -0.579188)","(0.117874, -0.893011, -0.434325)"
3.919772,"(-0.217824, 0.949323, 0.22658)","(-0.048684, -0.820799, 0.569139)","(0.77449, -0.632368, 0.016635)","(0.913704, 0.293319, 0.281263)","(0.314445, -0.067075, 0.946903)","(0.009126, -0.88815, 0.459463)","(-0.029841, -0.857661, 0.513349)","(-0.259401, -0.761473, -0.594028)","(0.168997, -0.863849, -0.474558)"
3.941763,"(-0.221189, 0.947276, 0.231826)","(-0.17063, -0.859005, 0.482697)","(0.768153, -0.637004, 0.06455)","(0.877221, 0.322562, 0.35558)","(0.262275, 0.019255, 0.964801)","(0.033691, -0.884757, 0.464834)","(-0.04209, -0.845742, 0.53193)","(-0.276929, -0.7512, -0.599174)","(0.195622, -0.847257, -0.493849)"
3.967007,"(-0.22386, 0.945529, 0.23635)","(-0.288556, -0.888901, 0.355796)","(0.748897, -0.653133, 0.112117)","(0.822332, 0.33442, 0.460362)","(0.208137, 0.12202, 0.970459)","(0.056237, -0.882013, 0.467858)","(-0.049857, -0.836057, 0.546373)","(-0.289568, -0.744499, -0.601558)","(0.219674, -0.831929, -0.509547)"
4.00267,"(-0.226436, 0.943337, 0.242575)","(-0.459389, -0.887835, 0.026668)","(0.666989, -0.714575, 0.210968)","(0.641767, 0.255624, 0.723043)","(0.118082, 0.339284, 0.933243)","(0.091829, -0.878754, 0.468358)","(-0.044697, -0.826764, 0.560771)","(-0.289469, -0.74431, -0.60184)","(0.256791, -0.811085, -0.525547)"
4.037847,"(-0.226234, 0.942609, 0.245572)","(-0.509918, -0.821932, -0.253794)","(0.560348, -0.764381, 0.318955)","(0.403362, 0.090193, 0.910585)","(0.058779, 0.489324, 0.870119)","(0.114591, -0.878313, 0.46415)","(-0.025088, -0.826391, 0.562538)","(-0.267546, -0.755156, -0.598463)","(0.280758, -0.802218, -0.526897)"
4.081319,"(-0.223552, 0.942893, 0.246936)","(-0.474857, -0.736528, -0.481703)","(0.43497, -0.79488, 0.423044)","(0.101098, -0.129875, 0.986363)","(-0.018362, 0.580143, 0.814308)","(0.126569, -0.88538, 0.447306)","(-0.00945, -0.825282, 0.564642)","(-0.229406, -0.780149, -0.582014)","(0.282581, -0.797193, -0.533509)"
4.101676,"(-0.220607, 0.943599, 0.246889)","(-0.436101, -0.69549, -0.57106)","(0.366273, -0.802667, 0.470713)","(-0.0695, -0.265873, 0.9615)","(-0.084481, 0.598038, 0.797003)","(0.1263, -0.894133, 0.429622)","(-0.003022, -0.82545, 0.564468)","(-0.200125, -0.800659, -0.564708)","(0.270871, -0.798354, -0.537828)"
4.143087,"(-0.212355, 0.945995, 0.244946)","(-0.369481, -0.644073, -0.669816)","(0.251532, -0.801079, 0.543144)","(-0.330267, -0.484067, 0.81031)","(-0.246874, 0.583291, 0.773838)","(0.113526, -0.917628, 0.380881)","(0.009679, -0.828505, 0.559898)","(-0.134537, -0.845711, -0.516404)","(0.234274, -0.810634, -0.536646)"
4.180914,"(-0.202935, 0.949009, 0.241247)","(-0.330209, -0.605289, -0.724284)","(0.158221, -0.781126, 0.603994)","(-0.48629, -0.578148, 0.655184)","(-0.389078, 0.558135, 0.732874)","(0.098313, -0.938945, 0.329723)","(0.021642, -0.8296, 0.557939)","(-0.077727, -0.881373, -0.465984)","(0.186166, -0.825239, -0.533219)"
4.205088,"(-0.196682, 0.95108, 0.23825)","(-0.311489, -0.576497, -0.755397)","(0.103437, -0.761336, 0.640053)","(-0.559028, -0.594607, 0.577867)","(-0.464176, 0.547304, 0.696418)","(0.090386, -0.949353, 0.300932)","(0.029658, -0.826672, 0.561902)","(-0.047786, -0.897839, -0.437722)","(0.152978, -0.833735, -0.530551)"
4.25622,"(-0.177945, 0.957423, 0.227326)","(-0.267429, -0.479644, -0.835717)","(-0.049814, -0.686323, 0.725589)","(-0.719351, -0.542149, 0.43429)","(-0.622234, 0.535994, 0.570556)","(0.077252, -0.967077, 0.242474)","(0.059769, -0.806133, 0.588708)","(0.01671, -0.924015, -0.381992)","(0.055395, -0.850394, -0.523222)"
4.282283,"(-0.166606, 0.96129, 0.219462)","(-0.250987, -0.424689, -0.869853)","(-0.135236, -0.632508, 0.762656)","(-0.790332, -0.47608, 0.385647)","(-0.683943, 0.539039, 0.491588)","(0.070541, -0.970598, 0.230138)","(0.084233, -0.792199, 0.604422)","(0.037007, -0.926903, -0.373472)","(0.004506, -0.853186, -0.521587)"
4.300419,"(-0.153917, 0.965609, 0.209545)","(-0.246033, -0.373493, -0.894411)","(-0.229565, -0.572572, 0.787059)","(-0.8487, -0.395232, 0.351427)","(-0.730897, 0.546248, 0.409149)","(0.056231, -0.970483, 0.234521)","(0.119841, -0.775869, 0.619407)","(0.05282, -0.922477, -0.382422)","(-0.052871, -0.851687, -0.521377)"
4.336398,"(-0.134544, 0.972111, 0.192088)","(-0.265975, -0.315117, -0.911021)","(-0.363188, -0.478209, 0.799632)","(-0.901955, -0.278704, 0.329851)","(-0.777376, 0.557332, 0.291663)","(0.019, -0.964768, 0.262417)","(0.191184, -0.746578, 0.637237)","(0.084117, -0.90363, -0.419974)","(-0.15086, -0.842471, -0.517189)"
4.375169,"(-0.113599, 0.97893, 0.169678)","(-0.313252, -0.274191, -0.909226)","(-0.496608, -0.374706, 0.782928)","(-0.924523, -0.178073, 0.336969)","(-0.803004, 0.568196, 0.179829)","(-0.043759, -0.955221, 0.292641)","(0.282707, -0.711612, 0.643184)","(0.143197, -0.872583, -0.467005)","(-0.268783, -0.825263, -0.496685)"
4.414996,"(-0.086074, 0.987296, 0.133556)","(-0.385991, -0.238859, -0.891043)","(-0.642839, -0.240919, 0.727129)","(-0.927848, -0.065334, 0.367192)","(-0.820682, 0.56678, 0.072393)","(-0.151974, -0.942071, 0.29901)","(0.396625, -0.670992, 0.626465)","(0.248979, -0.827142, -0.503831)","(-0.409358, -0.796514, -0.444964)"
4.45063,"(-0.061579, 0.993691, 0.093731)","(-0.446979, -0.22998, -0.864477)","(-0.738258, -0.142117, 0.659377)","(-0.916918, 0.020477, 0.398551)","(-0.835654, 0.549146, 0.010959)","(-0.241689, -0.931328, 0.272422)","(0.471128, -0.642566, 0.604275)","(0.335531, -0.794852, -0.505598)","(-0.497879, -0.775599, -0.388023)"
4.468837,"(-0.049232, 0.996299, 0.070465)","(-0.476881, -0.233508, -0.847383)","(-0.774872, -0.105508, 0.623251)","(-0.90721, 0.059007, 0.416519)","(-0.844381, 0.535586, -0.013007)","(-0.276577, -0.926556, 0.25495)","(0.496781, -0.631655, 0.595164)","(0.367366, -0.783756, -0.500769)","(-0.529306, -0.768477, -0.359553)"
4.504411,"(-0.023427, 0.999567, 0.0178)","(-0.527897, -0.269577, -0.80539)","(-0.83151, -0.06035, 0.552223)","(-0.88304, 0.115047, 0.454978)","(-0.863172, 0.50172, -0.056663)","(-0.324263, -0.918755, 0.225264)","(0.527752, -0.615071, 0.585803)","(0.401897, -0.772221, -0.492091)","(-0.574265, -0.762509, -0.297993)"
4.540153,"(0.002239, 0.999615, -0.027667)","(-0.566457, -0.33059, -0.754875)","(-0.867864, -0.058671, 0.493325)","(-0.854706, 0.142739, 0.499103)","(-0.880401, 0.463597, -0.099857)","(-0.332579, -0.916554, 0.222081)","(0.523427, -0.628763, 0.575049)","(0.407752, -0.77719, -0.479284)","(-0.569798, -0.754748, -0.325093)"
4.575995,"(0.027769, 0.998443, -0.048381)","(-0.590073, -0.410596, -0.695144)","(-0.88927, -0.098115, 0.446735)","(-0.825117, 0.134787, 0.548648)","(-0.893111, 0.425767, -0.145171)","(-0.307918, -0.920702, 0.239781)","(0.491742, -0.661768, 0.565909)","(0.382705, -0.795997, -0.468962)","(-0.521789, -0.754209, -0.398629)"
4.611656,"(0.052821, 0.997791, -0.040277)","(-0.598178, -0.500491, -0.625853)","(-0.898151, -0.176273, 0.402806)","(-0.79427, 0.084885, 0.601606)","(-0.89972, 0.392393, -0.191133)","(-0.255209, -0.930037, 0.264387)","(0.435599, -0.702073, 0.563336)","(0.32281, -0.826261, -0.461614)","(-0.436396, -0.766537, -0.471147)"
4.647491,"(0.076648, 0.997055, -0.002479)","(-0.594309, -0.585125, -0.551747)","(-0.880783, -0.282165, 0.380269)","(-0.757034, 0.001242, 0.653375)","(-0.904883, 0.365785, -0.217687)","(-0.185032, -0.941942, 0.280194)","(0.360006, -0.746889, 0.559064)","(0.241029, -0.862708, -0.444568)","(-0.315488, -0.78648, -0.530958)"
4.682913,"(0.098754, 0.99382, 0.050684)","(-0.586463, -0.651986, -0.480599)","(-0.820512, -0.40131, 0.407076)","(-0.702393, -0.100546, 0.704652)","(-0.916261, 0.342658, -0.207488)","(-0.118854, -0.953183, 0.278056)","(0.279868, -0.792852, 0.54135)","(0.160386, -0.897092, -0.411706)","(-0.17225, -0.805974, -0.566335)"
4.700689,"(0.109168, 0.99107, 0.076562)","(-0.584773, -0.677057, -0.446805)","(-0.772929, -0.459864, 0.437156)","(-0.664791, -0.152062, 0.731389)","(-0.924623, 0.331018, -0.188416)","(-0.092466, -0.957584, 0.272915)","(0.243417, -0.814723, 0.526284)","(0.12591, -0.911172, -0.392317)","(-0.102495, -0.813891, -0.571905)"
4.736382,"(0.128376, 0.984213, 0.121841)","(-0.589983, -0.710279, -0.383958)","(-0.644333, -0.563003, 0.517555)","(-0.567594, -0.243025, 0.786623)","(-0.944342, 0.303125, -0.127804)","(-0.056992, -0.962305, 0.265935)","(0.186849, -0.85172, 0.489551)","(0.072265, -0.930416, -0.35931)","(0.024323, -0.826655, -0.562183)"
4.771978,"(0.145769, 0.97661, 0.158063)","(-0.605915, -0.727014, -0.322982)","(-0.471412, -0.644138, 0.602377)","(-0.442878, -0.302168, 0.844129)","(-0.962868, 0.266682, -0.042023)","(-0.039318, -0.960088, 0.27692)","(0.150898, -0.87675, 0.456661)","(0.037801, -0.936924, -0.347483)","(0.120801, -0.832183, -0.541182)"
4.807953,"(0.16066, 0.969376, 0.185737)","(-0.623738, -0.736105, -0.26287)","(-0.270076, -0.70233, 0.658628)","(-0.307033, -0.309488, 0.899971)","(-0.971814, 0.228929, 0.056303)","(-0.024775, -0.949884, 0.31162)","(0.119523, -0.886552, 0.446922)","(0.011714, -0.930944, -0.364973)","(0.184026, -0.827463, -0.530508)"
4.8434,"(0.173113, 0.962912, 0.206961)","(-0.636937, -0.744079, -0.201637)","(-0.058292, -0.746885, 0.662394)","(-0.169301, -0.257712, 0.951274)","(-0.967369, 0.200424, 0.155011)","(-0.005935, -0.93208, 0.362204)","(0.083109, -0.886985, 0.454259)","(-0.021944, -0.913289, -0.406722)","(0.230002, -0.813151, -0.534682)"
4.878942,"(0.183328, 0.957317, 0.223464)","(-0.640654, -0.756485, -0.131503)","(0.158791, -0.772687, 0.614606)","(-0.03315, -0.146711, 0.988624)","(-0.948962, 0.180097, 0.258913)","(0.015792, -0.907921, 0.418843)","(0.042156, -0.881281, 0.470709)","(-0.072514, -0.886632, -0.456754)","(0.269147, -0.791987, -0.548012)"
4.915102,"(0.191048, 0.952834, 0.235814)","(-0.631111, -0.775118, -0.02986)","(0.33933, -0.793046, 0.505898)","(0.098176, 0.011011, 0.995108)","(-0.90573, 0.16726, 0.389459)","(0.035393, -0.882364, 0.469234)","(0.000587, -0.872094, 0.489338)","(-0.131382, -0.856924, -0.498417)","(0.301379, -0.770914, -0.561127)"
4.950812,"(0.196481, 0.949392, 0.245053)","(-0.594932, -0.79731, 0.101748)","(0.464839, -0.820427, 0.332904)","(0.211404, 0.194271, 0.957898)","(-0.821506, 0.161845, 0.546748)","(0.047264, -0.861601, 0.505381)","(-0.038517, -0.863738, 0.502468)","(-0.189456, -0.828946, -0.526266)","(0.323222, -0.756672, -0.568309)"
4.968596,"(0.19833, 0.948068, 0.248662)","(-0.563545, -0.809943, 0.162509)","(0.496492, -0.839239, 0.221754)","(0.257312, 0.289206, 0.922036)","(-0.757438, 0.157794, 0.633552)","(0.048058, -0.854365, 0.517447)","(-0.056391, -0.86083, 0.505758)","(-0.215449, -0.817246, -0.534501)","(0.328661, -0.754012, -0.568726)"
5.003907,"(0.200231, 0.946267, 0.253941)","(-0.476265, -0.830637, 0.288467)","(0.508804, -0.86088, -0.001959)","(0.320535, 0.457872, 0.829223)","(-0.595301, 0.127158, 0.793377)","(0.038066, -0.847517, 0.529401)","(-0.090152, -0.856242, 0.508648)","(-0.258066, -0.799613, -0.542237)","(0.322897, -0.75596, -0.56944)"
