time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
4.54,"(-0.00134407, -0.000690544, 5.92777e-06)","(0.0652865, 0.958371, 0.27796)","(-0.526906, -0.814089, -0.24419)","(0.0449821, -0.979864, 0.194535)","(0.120533, -0.906108, 0.405512)","(-0.596782, -0.334571, 0.729324)","(0.0677807, -0.997401, -0.0244496)","(-0.0814949, -0.996649, -0.00702792)","(0.0699615, -0.889314, -0.451914)","(0.0100389, -0.890351, -0.455164)",0
4.58,"(-0.00183097, -0.00305774, 3.25574e-06)","(0.0374614, 0.965246, 0.258645)","(-0.463419, -0.883741, -0.0651453)","(0.141105, -0.987246, 0.073717)","(0.31182, -0.71972, 0.6203)","(-0.470231, -0.586724, 0.65927)","(0.0673183, -0.997706, -0.00719166)","(-0.0703398, -0.996842, -0.036868)","(0.0851959, -0.921847, -0.378073)","(0.0248574, -0.881759, -0.471045)",0
4.6,"(-0.00183097, -0.00305774, 3.25574e-06)","(0.00135794, 0.969515, 0.245029)","(-0.352235, -0.928841, 0.114823)","(0.264642, -0.963885, -0.0298369)","(0.449113, -0.338661, 0.826805)","(-0.238232, -0.794171, 0.559051)","(0.0711502, -0.99699, -0.0308093)","(-0.0577749, -0.998329, 0.000581669)","(0.100573, -0.906191, -0.410734)","(0.0273495, -0.868622, -0.49472)",0
4.64,"(-0.00183097, -0.00305774, 3.25574e-06)","(-0.0274418, 0.966608, 0.254786)","(-0.212828, -0.948584, 0.234291)","(0.359503, -0.924956, -0.123345)","(0.467346, -0.00224019, 0.884071)","(-0.019968, -0.909087, 0.416128)","(0.0766401, -0.99551, -0.0555549)","(-0.0438943, -0.998009, 0.045291)","(0.113273, -0.883337, -0.454846)","(0.0301591, -0.847628, -0.529734)",0
4.68,"(-0.00324392, 0.000840926, 1.72872e-06)","(-0.04561, 0.966, 0.254487)","(-0.091421, -0.954162, 0.284987)","(0.429268, -0.879477, -0.205545)","(0.396541, 0.207893, 0.894168)","(0.132105, -0.949566, 0.284382)","(0.0798506, -0.993732, -0.0782306)","(-0.0330113, -0.996281, 0.0795855)","(0.110246, -0.866346, -0.487125)","(0.0281316, -0.830418, -0.55643)",0
4.7,"(-0.0037684, 0.00581729, 1.77115e-06)","(-0.0534935, 0.964632, 0.258115)","(-0.0127024, -0.932569, 0.360767)","(0.494532, -0.830433, -0.256552)","(0.333695, 0.277678, 0.900856)","(0.216171, -0.951503, 0.218886)","(0.0852333, -0.992904, -0.0829228)","(-0.0340328, -0.997328, 0.0646381)","(0.0969555, -0.867445, -0.487995)","(0.0505265, -0.805447, -0.590511)",0
4.74,"(-0.00415509, 0.0115478, 7.96917e-07)","(-0.0575073, 0.963055, 0.263092)","(0.0294735, -0.915975, 0.40015)","(0.558753, -0.780579, -0.280163)","(0.318247, 0.3302, 0.888644)","(0.252129, -0.948957, 0.189503)","(0.0936516, -0.991627, -0.0889108)","(-0.0341972, -0.985401, 0.166777)","(0.0821996, -0.858403, -0.506348)","(0.0756129, -0.781668, -0.619094)",0
4.78,"(-0.00440991, 0.0163855, -2.74132e-06)","(-0.0676926, 0.959626, 0.27301)","(0.0551733, -0.895306, 0.442022)","(0.619217, -0.727219, -0.296181)","(0.310458, 0.374918, 0.873528)","(0.292049, -0.943243, 0.158113)","(0.101892, -0.991362, -0.0825818)","(-0.0352012, -0.964885, 0.260302)","(0.0637056, -0.855254, -0.514278)","(0.100463, -0.763864, -0.63751)",0
4.8,"(-0.00457213, 0.0206262, -7.57107e-06)","(-0.0767704, 0.95811, 0.27592)","(0.0706667, -0.887685, 0.454997)","(0.649365, -0.692192, -0.314953)","(0.318013, 0.408948, 0.855353)","(0.29212, -0.946177, 0.139335)","(0.106544, -0.990521, -0.0867018)","(-0.0323527, -0.966839, 0.253329)","(0.0517209, -0.855095, -0.515886)","(0.10111, -0.777227, -0.621043)",0
4.84,"(-0.00457213, 0.0206262, -7.57107e-06)","(-0.0851232, 0.960511, 0.264901)","(0.0332641, -0.882059, 0.469963)","(0.662337, -0.678528, -0.317662)","(0.350564, 0.379767, 0.856085)","(0.277602, -0.949185, 0.148276)","(0.106076, -0.990505, -0.0874545)","(-0.0335699, -0.986923, 0.157658)","(0.0476087, -0.871188, -0.488636)","(0.0958547, -0.789948, -0.605635)",0
