time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.333667,"(0.00545888, 0.0012398, 2.69376e-05)","(-0.429156, 0.00538692, -0.903214)","(-0.013434, 0.999832, 0.0124906)","(0.903119, 0.0172136, -0.429044)","(-0.585324, 0.00217644, -0.810797)","(-0.013434, 0.999832, 0.0124906)","(0.810676, 0.0178973, -0.585221)","(-0.013434, 0.999832, 0.0124906)","(0.843576, 0.405545, 0.352011)","(0, 0, 0)","(0.883439, 0.466433, -0.0444486)","(0, 0, 0)","(0.308024, -0.931095, -0.195406)","(-0.0196505, -0.981547, -0.19021)","(-0.297119, -0.954056, -0.038705)","(-0.0330436, -0.997986, -0.054149)",0
0.367033,"(0.00545888, 0.0012398, 2.69376e-05)","(-0.457324, 0.0018351, -0.889298)","(-0.0229167, 0.999641, 0.0138933)","(0.889001, 0.026692, -0.457127)","(-0.612394, -0.00316153, -0.790547)","(-0.0229167, 0.999641, 0.0138933)","(0.790201, 0.0265518, -0.612272)","(-0.0229167, 0.999641, 0.0138933)","(0.850319, 0.260518, 0.457261)","(0, 0, 0)","(0.951968, 0.290225, 0.0975998)","(0, 0, 0)","(0.376046, -0.912215, -0.162643)","(-0.0197433, -0.978236, -0.206556)","(-0.267141, -0.962879, 0.0387223)","(-0.0493239, -0.998191, 0.0343914)",0
0.4004,"(0.00713153, 0.00292284, 3.58628e-05)","(-0.457771, 0.0119771, -0.88899)","(-0.0305093, 0.999112, 0.0290517)","(0.888643, 0.0402709, -0.456828)","(-0.63503, 0.0027175, -0.772483)","(-0.0305093, 0.999112, 0.0290517)","(0.772002, 0.0424195, -0.634203)","(-0.0305093, 0.999112, 0.0290517)","(0.841187, 0.0830172, 0.534334)","(-0.316635, -0.948546, 0.00143701)","(0.966907, 0.0992621, 0.235028)","(0, 0, 0)","(0.438252, -0.892599, -0.105839)","(-0.0217675, -0.980222, -0.196701)","(-0.214171, -0.973935, 0.0747151)","(-0.0492197, -0.995074, 0.0860519)",0
0.433767,"(0.00713153, 0.00292284, 3.58628e-05)","(-0.451138, 0.0320846, -0.891877)","(-0.0348982, 0.997959, 0.0534848)","(0.89188, 0.0551217, -0.4489)","(-0.660264, 0.016502, -0.750852)","(-0.0348982, 0.997959, 0.0534848)","(0.750359, 0.0622439, -0.658093)","(-0.0348982, 0.997959, 0.0534848)","(0.842074, -0.0677296, 0.535092)","(-0.321116, -0.94669, 0.0257531)","(0.970044, -0.105868, 0.218647)","(0, 0, 0)","(0.473932, -0.876503, -0.0844476)","(-0.0252734, -0.982254, -0.185844)","(-0.126756, -0.99149, 0.0296835)","(-0.0389364, -0.998445, 0.0398902)",0
0.467133,"(0.00957981, 0.00295349, 3.69618e-05)","(-0.448046, 0.0550493, -0.892314)","(-0.040517, 0.995828, 0.0817636)","(0.893201, 0.0727605, -0.443731)","(-0.68987, 0.0308284, -0.723276)","(-0.040517, 0.995828, 0.0817635)","(0.72289, 0.0859224, -0.6856)","(-0.040517, 0.995828, 0.0817636)","(0.85836, -0.22075, 0.463129)","(-0.312816, -0.948861, 0.0425432)","(0.943687, -0.26988, 0.191361)","(0, 0, 0)","(0.479017, -0.870339, -0.114247)","(-0.0290569, -0.981872, -0.187304)","(-0.0142932, -0.99731, -0.0718992)","(-0.0295311, -0.996193, -0.082024)",0
0.5005,"(0.0113231, 0.00118874, 4.07344e-05)","(-0.450932, 0.070339, -0.889783)","(-0.0500599, 0.99332, 0.103966)","(0.89124, 0.0914586, -0.444215)","(-0.711375, 0.0372383, -0.701825)","(-0.0500599, 0.99332, 0.103966)","(0.701087, 0.109203, -0.704664)","(-0.0500599, 0.99332, 0.103966)","(0.845559, -0.383695, 0.371226)","(-0.303247, -0.949714, 0.0780046)","(0.899793, -0.415261, 0.133906)","(0.0960173, -0.994912, -0.0305245)","(0.469578, -0.867065, -0.166419)","(-0.0422401, -0.979629, -0.196324)","(0.0951666, -0.98396, -0.150882)","(-0.0280705, -0.979658, -0.198702)",0
0.533867,"(0.0136457, -0.000896192, 4.48244e-05)","(-0.490921, 0.0721877, -0.868208)","(-0.0572574, 0.991728, 0.114881)","(0.869337, 0.106029, -0.482712)","(-0.759257, 0.031404, -0.650033)","(-0.0572574, 0.991728, 0.114881)","(0.648284, 0.12434, -0.751177)","(-0.0572574, 0.991728, 0.114881)","(0.795566, -0.553724, 0.245897)","(-0.304374, -0.947421, 0.0987442)","(0.858004, -0.513552, 0.00969062)","(0.0670187, -0.996291, -0.0539742)","(0.491257, -0.844054, -0.215034)","(-0.0646472, -0.976734, -0.204478)","(0.142287, -0.976138, -0.16404)","(-0.0328211, -0.981059, -0.190907)",0
0.567233,"(0.0164599, -0.00293506, 4.81229e-05)","(-0.583327, 0.0678037, -0.809402)","(-0.057057, 0.990608, 0.124263)","(0.810196, 0.119472, -0.573854)","(-0.839797, 0.0192383, -0.54256)","(-0.057057, 0.990608, 0.124263)","(0.539847, 0.13609, -0.830689)","(-0.057057, 0.990608, 0.124263)","(0.691051, -0.70975, 0.136762)","(-0.315998, -0.942268, 0.110799)","(0.76019, -0.638375, -0.120782)","(0.0158093, -0.998815, -0.0460219)","(0.517165, -0.824101, -0.231078)","(-0.0921647, -0.974907, -0.20264)","(0.155152, -0.982748, -0.10067)","(-0.037796, -0.993424, -0.108075)",0
0.6006,"(0.0198104, -0.00470328, 5.41038e-05)","(-0.696005, 0.0569315, -0.715776)","(-0.0553685, 0.989378, 0.134405)","(0.715823, 0.13492, -0.685124)","(-0.919015, 1.5735e-05, -0.394223)","(-0.0553685, 0.989378, 0.134405)","(0.390083, 0.146544, -0.909044)","(-0.0553685, 0.989378, 0.134405)","(0.548545, -0.833313, 0.0684693)","(-0.324826, -0.939112, 0.112058)","(0.63529, -0.746006, -0.199705)","(-0.0761551, -0.995075, -0.0634578)","(0.542853, -0.810653, -0.219437)","(-0.115522, -0.977719, -0.175275)","(0.139792, -0.989581, 0.0344676)","(-0.0377289, -0.99925, 0.00866645)",0
0.633967,"(0.0236582, -0.00546104, 5.66346e-05)","(-0.79754, 0.0505803, -0.601142)","(-0.0579183, 0.984685, 0.164442)","(0.600437, 0.167239, -0.781989)","(-0.972124, -0.0218878, -0.233444)","(-0.0579183, 0.984685, 0.164442)","(0.226267, 0.173409, -0.958505)","(-0.0579183, 0.984685, 0.164442)","(0.410345, -0.910173, 0.0565877)","(-0.305901, -0.943557, 0.126981)","(0.435045, -0.873288, -0.219327)","(-0.16003, -0.982932, -0.0907493)","(0.546216, -0.814189, -0.196835)","(-0.137957, -0.979361, -0.147715)","(0.138461, -0.978296, 0.15416)","(-0.0404088, -0.995215, 0.0889595)",0
