time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.967633,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0307739, 0.998111, 0.0531684)","(-0.0193885, -0.91716, 0.398046)","(-0.158329, -0.894252, 0.418624)","(0.403657, -0.52434, 0.749752)","(-0.321869, -0.625529, 0.710713)","(0.0430403, -0.846199, 0.531127)","(-0.189172, -0.531895, 0.82541)","(0, 0, 0)","(0.146138, -0.28311, -0.947889)",0
1.001,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0310217, 0.998247, 0.0504127)","(-0.0202364, -0.916971, 0.398441)","(-0.158097, -0.893713, 0.419861)","(0.402297, -0.525634, 0.749577)","(-0.32188, -0.625714, 0.710546)","(0.0419298, -0.848815, 0.527024)","(-0.189368, -0.535228, 0.823208)","(0, 0, 0)","(0.146332, -0.277256, -0.949587)",0
1.03437,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0315055, 0.998324, 0.0485436)","(-0.0210452, -0.917114, 0.398069)","(-0.15765, -0.892964, 0.421618)","(0.402942, -0.529635, 0.746407)","(-0.32204, -0.624795, 0.711281)","(0.0416742, -0.853111, 0.520063)","(-0.189931, -0.538467, 0.820963)","(0, 0, 0)","(0.14857, -0.274295, -0.950099)",0
1.06773,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0319319, 0.998469, 0.0451779)","(-0.0210926, -0.916266, 0.400015)","(-0.156913, -0.891064, 0.425891)","(0.40397, -0.533974, 0.742751)","(-0.322275, -0.623482, 0.712326)","(0.0414146, -0.856179, 0.515017)","(-0.190408, -0.528163, 0.82752)","(0, 0, 0)","(0.152444, -0.287853, -0.945464)",0
1.1011,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0323858, 0.998593, 0.0419912)","(-0.020866, -0.915386, 0.402036)","(-0.155999, -0.889196, 0.43011)","(0.403889, -0.537192, 0.740472)","(-0.322508, -0.622268, 0.713281)","(0.0414161, -0.859142, 0.510058)","(-0.190263, -0.518664, 0.833539)","(0, 0, 0)","(0.155101, -0.299755, -0.941324)",0
1.13447,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0326024, 0.998682, 0.0396474)","(-0.0203822, -0.91434, 0.404433)","(-0.155203, -0.887467, 0.433952)","(0.402587, -0.537828, 0.740719)","(-0.322487, -0.622074, 0.71346)","(0.041269, -0.860699, 0.507439)","(-0.18989, -0.509038, 0.839537)","(0, 0, 0)","(0.156428, -0.31015, -0.93773)",0
1.16783,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0327062, 0.998621, 0.0410787)","(-0.0200179, -0.912584, 0.408398)","(-0.154429, -0.885892, 0.437432)","(0.401371, -0.53744, 0.74166)","(-0.322455, -0.622073, 0.713476)","(0.0394415, -0.861609, 0.506037)","(-0.189496, -0.507837, 0.840353)","(0, 0, 0)","(0.156913, -0.310003, -0.937697)",0
1.2012,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0324874, 0.998558, 0.0427421)","(-0.0194938, -0.910661, 0.412695)","(-0.153586, -0.884416, 0.440704)","(0.400383, -0.536693, 0.742734)","(-0.322432, -0.621867, 0.713665)","(0.0359588, -0.861788, 0.505993)","(-0.189561, -0.505099, 0.841987)","(0, 0, 0)","(0.157899, -0.311393, -0.937071)",0
1.23457,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0319088, 0.998511, 0.0442426)","(-0.0187091, -0.90858, 0.417293)","(-0.152389, -0.883097, 0.443754)","(0.399491, -0.535847, 0.743825)","(-0.322511, -0.621206, 0.714206)","(0.0305664, -0.861598, 0.50667)","(-0.189802, -0.502217, 0.843655)","(0, 0, 0)","(0.158947, -0.311884, -0.936731)",0
1.26793,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0313697, 0.998551, 0.0437341)","(-0.0180224, -0.908648, 0.417173)","(-0.151472, -0.882779, 0.4447)","(0.399402, -0.536445, 0.743441)","(-0.322456, -0.620916, 0.714483)","(0.0266139, -0.861873, 0.506425)","(-0.192015, -0.50147, 0.843599)","(0, 0, 0)","(0.161348, -0.310919, -0.936641)",0
