time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.00,"(-0.169302, -0.0256376, -1.35968e-05)","(0.238106, -0.0841865, 0.967584)","(-0.00204837, 0.996223, 0.0868028)","(-0.971114, -0.0227846, 0.237526)","(-0.162835, -0.0873755, 0.982777)","(-0.00204837, 0.996223, 0.0868028)","(-0.986513, 0.0125303, -0.163205)","(-0.00204837, 0.996223, 0.0868028)","(-0.740740147, -0.569332984, 0.3566006)","(-0.903879, -0.405234, -0.137071)","(-0.205473155, 0.0809356226, 0.975310313)","(-0.443215, 0.109155, -0.889745)","(-0.596623, -0.788133, -0.151285)","(-0.318066, -0.947955, -0.0146587)","(0.266991, -0.935401, -0.231821)","(0.422584, -0.906317, -0.0034805)",0
0.04,"(-0.156918, -0.0263823, -1.16757e-05)","(0.199958, -0.0791501, 0.976602)","(-0.0579264, 0.994279, 0.0897428)","(-0.97803, -0.0750635, 0.194483)","(-0.207921, -0.103096, 0.972697)","(-0.0579264, 0.994279, 0.0897428)","(-0.976361, -0.0369872, -0.21296)","(-0.0579264, 0.994279, 0.0897428)","(-0.75814008, -0.56524919, 0.325141467)","(-0.906567, -0.40146, -0.130256)","(-0.269367828, 0.0631055443, 0.960967566)","(-0.484876, 0.0632209, -0.872295)","(-0.658446, -0.724117, -0.205192)","(-0.441951, -0.895902, 0.045148)","(0.429922, -0.858781, -0.27868)","(0.419679, -0.906736, 0.0412263)",0
0.06,"(-0.144933, -0.0270174, -1.66985e-05)","(0.141446, -0.0757306, 0.987045)","(-0.102821, 0.990645, 0.0897271)","(-0.984569, -0.114389, 0.132437)","(-0.262028, -0.114412, 0.958254)","(-0.102821, 0.990645, 0.0897271)","(-0.95952, -0.0749214, -0.271491)","(-0.102821, 0.990645, 0.0897271)","(-0.775504305, -0.572320611, 0.26653741)","(-0.898959, -0.41931, -0.126694)","(-0.331549188, 0.0434389553, 0.942437368)","(-0.4884, -0.00772812, -0.872586)","(-0.665544, -0.711436, -0.225631)","(-0.536388, -0.841601, 0.0632062)","(0.566115, -0.7578, -0.324426)","(0.456501, -0.888504, 0.0465519)",0
0.10,"(-0.134081, -0.0273322, -2.2631e-05)","(0.112646, -0.0815229, 0.990285)","(-0.134013, 0.986264, 0.0965634)","(-0.984568, -0.143622, 0.0999979)","(-0.218707, -0.122388, 0.968085)","(-0.134013, 0.986264, 0.0965634)","(-0.966327, -0.109997, -0.232621)","(-0.134013, 0.986264, 0.0965634)","(-0.780935089, -0.579653485, 0.232684819)","(-0.896341, -0.422155, -0.135495)","(-0.283992984, 0.141939924, 0.948262117)","(-0.339434, 0.166401, -0.925794)","(-0.682871, -0.708541, -0.177924)","(-0.556897, -0.828092, 0.0642567)","(0.689118, -0.648512, -0.323341)","(0.458901, -0.887854, 0.0335483)",0
0.14,"(-0.124695, -0.0276445, -2.9341e-05)","(0.0968475, -0.0850608, 0.991658)","(-0.158208, 0.982372, 0.0995726)","(-0.982643, -0.166603, 0.0815821)","(-0.154066, -0.123126, 0.980359)","(-0.158208, 0.982372, 0.0995726)","(-0.97518, -0.140604, -0.171038)","(-0.158208, 0.982372, 0.0995726)","(-0.772536345, -0.600788813, 0.20552469)","(-0.880725, -0.452566, -0.13967)","(-0.248277383, 0.263106315, 0.932273247)","(-0.212204, 0.379416, -0.900563)","(-0.660987, -0.740374, -0.122239)","(-0.561508, -0.825487, 0.0572679)","(0.778177, -0.543614, -0.314523)","(0.430011, -0.902717, 0.0138611)",0
0.16,"(-0.113474, -0.0275921, -3.4084e-05)","(0.0635071, -0.0831026, 0.994515)","(-0.170769, 0.980935, 0.0927562)","(-0.983124, -0.176511, 0.0480793)","(-0.106083, -0.111962, 0.988034)","(-0.170769, 0.980935, 0.0927562)","(-0.979559, -0.159095, -0.1231)","(-0.170769, 0.980935, 0.0927562)","(-0.766476461, -0.619369488, 0.169986091)","(-0.865536, -0.480767, -0.140392)","(-0.289413449, 0.371158551, 0.882315808)","(-0.204511, 0.560679, -0.80238)","(-0.591662, -0.801094, -0.0904718)","(-0.561771, -0.825562, 0.0534819)","(0.818976, -0.503877, -0.274567)","(0.379794, -0.925033, 0.0084136)",0
0.20,"(-0.104402, -0.0270828, -3.82377e-05)","(0.0170058, -0.0628067, 0.997881)","(-0.174735, 0.982485, 0.0647318)","(-0.984331, -0.176235, 0.00576697)","(-0.144688, -0.0909558, 0.985288)","(-0.174736, 0.982485, 0.0647319)","(-0.973758, -0.163899, -0.1579)","(-0.174736, 0.982485, 0.0647319)","(-0.753798539, -0.642536248, 0.137604258)","(-0.838529, -0.525069, -0.145508)","(-0.414851115, 0.337183571, 0.84510697)","(-0.372042, 0.453138, -0.810093)","(-0.452586, -0.888052, -0.0808057)","(-0.551114, -0.833075, 0.0475278)","(0.832324, -0.511836, -0.212745)","(0.328535, -0.944486, 0.00322673)",0
0.24,"(-0.0950965, -0.0260735, -3.67215e-05)","(-0.0156491, -0.0381204, 0.999151)","(-0.176738, 0.983644, 0.0347529)","(-0.984076, -0.176366, -0.0221219)","(-0.188552, -0.0687136, 0.979656)","(-0.176738, 0.983644, 0.0347529)","(-0.965855, -0.167646, -0.19753)","(-0.176738, 0.983644, 0.0347529)","(-0.746749651, -0.65355547, 0.123410723)","(-0.827443, -0.541562, -0.148486)","(-0.507917873, 0.280787197, 0.814357406)","(-0.491918, 0.292583, -0.820008)","(-0.33622, -0.939491, -0.0656777)","(-0.544096, -0.837829, 0.044735)","(0.850532, -0.505257, -0.145981)","(0.279166, -0.96024, -0.00244488)",0
0.26,"(-0.0847765, -0.0250942, -3.53368e-05)","(-0.0297451, -0.0252635, 0.999238)","(-0.184286, 0.982683, 0.0193151)","(-0.982414, -0.18361, -0.033915)","(-0.204032, -0.0572589, 0.977288)","(-0.184286, 0.982683, 0.0193151)","(-0.961432, -0.176331, -0.211084)","(-0.184286, 0.982683, 0.0193151)","(-0.743716826, -0.656554396, 0.125783973)","(-0.827709, -0.537129, -0.162452)","(-0.522877067, 0.257118165, 0.812705249)","(-0.476334, 0.242306, -0.845218)","(-0.209063, -0.975533, -0.0680326)","(-0.562366, -0.825852, 0.0413864)","(0.829092, -0.549528, -0.103082)","(0.18902, -0.981958, -0.00550194)",0
0.30,"(-0.0728742, -0.0241437, -3.40911e-05)","(-0.0388533, -0.0263868, 0.998896)","(-0.201043, 0.979418, 0.0179442)","(-0.978811, -0.20009, -0.0435055)","(-0.201644, -0.0590887, 0.977675)","(-0.201043, 0.979418, 0.0179442)","(-0.958531, -0.193116, -0.209581)","(-0.201043, 0.979418, 0.0179442)","(-0.739986762, -0.660560726, 0.126803462)","(-0.826342, -0.533665, -0.17989)","(-0.494578308, 0.264331374, 0.827962089)","(-0.390045, 0.273635, -0.879198)","(-0.103725, -0.989562, -0.100037)","(-0.591709, -0.805082, 0.0415211)","(0.759922, -0.646069, -0.071505)","(0.103305, -0.994567, 0.0128657)",0
