time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.34,"(-0.0599495, -0.0236388, -3.62417e-05)","(-0.0499639, -0.0354319, 0.998122)","(-0.22624, 0.973802, 0.0229251)","(-0.972789, -0.224643, -0.0567116)","(-0.187326, -0.0668236, 0.980022)","(-0.22624, 0.973802, 0.0229251)","(-0.955871, -0.217367, -0.19764)","(-0.22624, 0.973802, 0.0229251)","(-0.738872164, -0.663014415, 0.120332083)","(-0.829099, -0.523911, -0.195224)","(-0.494930906, 0.258149981, 0.829699937)","(-0.37912, 0.268716, -0.885471)","(0.0042685, -0.989668, -0.143312)","(-0.618795, -0.784297, 0.0443939)","(0.654822, -0.754674, -0.0409169)","(0.0137487, -0.999434, 0.0307134)",0
0.36,"(-0.0447223, -0.022812, -4.07933e-05)","(-0.0662061, -0.0567508, 0.996191)","(-0.256991, 0.965691, 0.0373782)","(-0.964211, -0.253091, -0.0790083)","(-0.152246, -0.0773437, 0.985312)","(-0.256991, 0.965691, 0.0373782)","(-0.953973, -0.248781, -0.167461)","(-0.256991, 0.965691, 0.0373782)","(-0.735404637, -0.671463834, 0.0911939667)","(-0.829335, -0.526392, -0.187389)","(-0.486324534, 0.282852812, 0.826730146)","(-0.347815, 0.34023, -0.873652)","(0.0339705, -0.980667, -0.192714)","(-0.626687, -0.778365, 0.0375633)","(0.581593, -0.813034, -0.0269357)","(-0.00601392, -0.999369, 0.0350184)",0
0.40,"(-0.0322223, -0.0223851, -4.39184e-05)","(-0.0779997, -0.0875309, 0.993103)","(-0.281844, 0.957458, 0.0619524)","(-0.956356, -0.274575, -0.0999576)","(-0.107254, -0.0945972, 0.989721)","(-0.281844, 0.957458, 0.0619524)","(-0.952959, -0.273779, -0.130054)","(-0.281844, 0.957458, 0.0619524)","(-0.732234648, -0.678707817, 0.0564634338)","(-0.832481, -0.526784, -0.171681)","(-0.492268682, 0.33121086, 0.804966404)","(-0.356572, 0.476839, -0.803418)","(0.0097739, -0.974378, -0.224705)","(-0.638682, -0.769455, -0.00498119)","(0.537893, -0.842137, -0.0384407)","(0.0194057, -0.9994, -0.0286915)",0
0.44,"(-0.0210375, -0.0211163, -4.56246e-05)","(-0.0890859, -0.114141, 0.989462)","(-0.299641, 0.950469, 0.0826089)","(-0.949893, -0.289062, -0.118937)","(-0.0761158, -0.110221, 0.990988)","(-0.299641, 0.950469, 0.0826089)","(-0.95103, -0.29056, -0.105434)","(-0.299641, 0.950469, 0.0826089)","(-0.727653978, -0.685551676, 0.023207507)","(-0.833509, -0.529296, -0.158455)","(-0.461583317, 0.402269903, 0.790645158)","(-0.265557, 0.653879, -0.708464)","(-0.0216381, -0.970495, -0.240147)","(-0.657536, -0.75136, -0.0557173)","(0.511739, -0.857724, -0.0493339)","(0.0712793, -0.992992, -0.0942695)",0
0.46,"(-0.0109127, -0.0191723, -4.52796e-05)","(-0.0994092, -0.125762, 0.987067)","(-0.315618, 0.944762, 0.0883709)","(-0.943643, -0.302812, -0.133579)","(-0.0960647, -0.124875, 0.987511)","(-0.315618, 0.944762, 0.0883709)","(-0.94397, -0.303287, -0.130144)","(-0.315618, 0.944762, 0.0883709)","(-0.724658386, -0.689108036, -0.000581619908)","(-0.837746, -0.525532, -0.148318)","(-0.493752432, 0.412270172, 0.765664313)","(-0.312454, 0.683684, -0.659506)","(-0.0507381, -0.968396, -0.244201)","(-0.680859, -0.727339, -0.0860756)","(0.466848, -0.881583, -0.0697363)","(0.185983, -0.972934, -0.137151)",0
0.50,"(-0.00288532, -0.0167094, -4.17253e-05)","(-0.135076, -0.129002, 0.982402)","(-0.330245, 0.940706, 0.0775263)","(-0.934082, -0.314203, -0.169611)","(-0.137706, -0.129967, 0.981909)","(-0.330245, 0.940706, 0.0775263)","(-0.933697, -0.313826, -0.172403)","(-0.330245, 0.940706, 0.0775263)","(-0.721416884, -0.69102507, -0.0451888482)","(-0.846439, -0.519069, -0.118779)","(-0.578184177, 0.379512581, 0.722269519)","(-0.450353, 0.614768, -0.647489)","(-0.090227, -0.964345, -0.248795)","(-0.686896, -0.72244, -0.0790921)","(0.424201, -0.899456, -0.105032)","(0.339159, -0.928699, -0.149964)",0
0.54,"(0.00475243, -0.0144756, -3.72125e-05)","(-0.161598, -0.135128, 0.977562)","(-0.346089, 0.935445, 0.0718615)","(-0.924099, -0.326914, -0.197909)","(-0.17954, -0.141553, 0.973513)","(-0.346089, 0.935445, 0.0718615)","(-0.920777, -0.324219, -0.216916)","(-0.346089, 0.935445, 0.0718615)","(-0.715669882, -0.694315006, -0.0757845119)","(-0.851834, -0.514288, -0.0994342)","(-0.655307512, 0.298104916, 0.694050088)","(-0.566904, 0.458751, -0.684227)","(-0.164648, -0.951918, -0.258347)","(-0.682788, -0.727456, -0.0678901)","(0.390227, -0.910207, -0.13873)","(0.522616, -0.838454, -0.154494)",0
0.56,"(0.0138804, -0.0122203, -3.33311e-05)","(-0.171498, -0.137567, 0.975533)","(-0.358523, 0.931005, 0.0684853)","(-0.9176, -0.338088, -0.209062)","(-0.187899, -0.143536, 0.971644)","(-0.358523, 0.931005, 0.0684853)","(-0.914382, -0.335581, -0.226474)","(-0.358523, 0.931005, 0.0684853)","(-0.707209318, -0.702173485, -0.0825068362)","(-0.848118, -0.52092, -0.096638)","(-0.692520838, 0.227871264, 0.684462984)","(-0.610258, 0.333032, -0.718801)","(-0.252041, -0.934918, -0.249808)","(-0.668526, -0.741443, -0.0577491)","(0.393741, -0.905883, -0.156025)","(0.650054, -0.737102, -0.184688)",0
0.60,"(0.0212426, -0.0109995, -3.01337e-05)","(-0.151329, -0.121098, 0.981038)","(-0.366011, 0.928772, 0.0584639)","(-0.918384, -0.349883, -0.184804)","(-0.170341, -0.128123, 0.97702)","(-0.366011, 0.928772, 0.0584639)","(-0.915083, -0.347256, -0.205029)","(-0.366011, 0.928772, 0.0584639)","(-0.704388285, -0.707575722, -0.0563359754)","(-0.851978, -0.51628, -0.087112)","(-0.693282164, 0.170420527, 0.700226167)","(-0.623035, 0.22292, -0.749756)","(-0.310155, -0.923909, -0.224044)","(-0.647801, -0.760591, -0.0430721)","(0.416142, -0.896955, -0.149323)","(0.726705, -0.660715, -0.188032)",0
0.64,"(0.0280898, -0.0104584, -2.89662e-05)","(-0.13485, -0.0967267, 0.986134)","(-0.370511, 0.927952, 0.0403467)","(-0.919136, -0.359554, -0.160964)","(-0.143282, -0.100023, 0.984614)","(-0.370511, 0.927951, 0.0403467)","(-0.917839, -0.358705, -0.170007)","(-0.370511, 0.927951, 0.0403467)","(-0.704911762, -0.708678524, -0.0295661371)","(-0.868841, -0.491377, -0.060532)","(-0.686790886, 0.15250417, 0.710676268)","(-0.655896, 0.167143, -0.736114)","(-0.333954, -0.921722, -0.19724)","(-0.630194, -0.775984, -0.0265293)","(0.435962, -0.888097, -0.145673)","(0.759087, -0.620718, -0.196206)",0
0.66,"(0.0353605, -0.0102082, -3.07659e-05)","(-0.129088, -0.0755087, 0.988754)","(-0.370123, 0.928708, 0.0226063)","(-0.919973, -0.36304, -0.147825)","(-0.159124, -0.0874737, 0.983376)","(-0.370123, 0.928708, 0.0226063)","(-0.915228, -0.360422, -0.180148)","(-0.370123, 0.928708, 0.0226063)","(-0.683963028, -0.729506569, 0.00383938408)","(-0.854836, -0.515286, -0.061126)","(-0.660946185, 0.110764041, 0.742213896)","(-0.637432, 0.0421085, -0.769355)","(-0.332853, -0.925084, -0.182836)","(-0.556924, -0.830545, -0.00552687)","(0.429414, -0.89495, -0.121114)","(0.756432, -0.638869, -0.140206)",0
0.70,"(0.0416779, -0.010136, -3.48876e-05)","(-0.0751266, -0.0825657, 0.99375)","(-0.38855, 0.92014, 0.0486985)","(-0.917106, -0.385236, -0.102517)","(-0.129394, -0.105909, 0.985921)","(-0.38855, 0.92014, 0.0486985)","(-0.9114, -0.378574, -0.161343)","(-0.38855, 0.92014, 0.0486985)","(-0.639146358, -0.765224992, 0.0769587215)","(-0.79897, -0.590628, -0.113165)","(-0.543768156, 0.144582887, 0.826687354)","(-0.491085, 0.15226, -0.857702)","(-0.371217, -0.912443, -0.172181)","(-0.442623, -0.896551, 0.0167892)","(0.418778, -0.900108, -0.120124)","(0.71011, -0.701442, -0.0610255)",0
0.74,"(0.0481, -0.010158, -3.7898e-05)","(-0.000218315, -0.0925484, 0.995708)","(-0.412143, 0.907007, 0.0864649)","(-0.909479, -0.413816, -0.0400469)","(-0.0859127, -0.131506, 0.987586)","(-0.412143, 0.907007, 0.0864649)","(-0.905597, -0.402549, -0.133597)","(-0.412143, 0.907007, 0.0864649)","(-0.5658572, -0.811366282, 0.146595997)","(-0.699352, -0.695966, -0.162903)","(-0.42055836, 0.193741055, 0.886338011)","(-0.359753, 0.314109, -0.878586)","(-0.39263, -0.894839, -0.212379)","(-0.298542, -0.953703, 0.0363866)","(0.380521, -0.91163, -0.155353)","(0.629931, -0.776217, 0.025971)",0
0.76,"(0.0563553, -0.0103419, -3.57634e-05)","(0.071286, -0.102202, 0.992206)","(-0.4427, 0.888107, 0.123627)","(-0.893751, -0.448205, 0.0179002)","(-0.0785335, -0.177408, 0.980999)","(-0.4427, 0.888106, 0.123627)","(-0.893441, -0.423955, -0.148411)","(-0.4427, 0.888107, 0.123627)","(-0.503072609, -0.843844709, 0.186665629)","(-0.625204, -0.761809, -0.169605)","(-0.350101314, 0.238320203, 0.905887714)","(-0.339461, 0.45737, -0.821936)","(-0.40221, -0.887537, -0.224735)","(-0.200952, -0.979188, 0.0284466)","(0.334084, -0.919255, -0.208224)","(0.545668, -0.8378, 0.0183782)",0
0.80,"(0.0636239, -0.0105873, -3.26468e-05)","(0.08804, -0.090461, 0.992001)","(-0.469744, 0.874397, 0.121539)","(-0.878404, -0.476651, 0.034792)","(-0.152679, -0.22016, 0.963441)","(-0.469744, 0.874396, 0.121539)","(-0.86918, -0.434069, -0.236875)","(-0.469744, 0.874397, 0.121539)","(-0.452836843, -0.871173246, 0.189726037)","(-0.551712, -0.823648, -0.131217)","(-0.395987554, 0.14287282, 0.907072883)","(-0.519001, 0.219674, -0.826063)","(-0.376698, -0.89913, -0.222853)","(-0.128559, -0.991606, 0.0137628)","(0.28134, -0.927198, -0.247289)","(0.467955, -0.883646, -0.0137207)",0
0.84,"(0.0706202, -0.010263, -3.09417e-05)","(0.0888403, -0.0770791, 0.993059)","(-0.495106, 0.861659, 0.111413)","(-0.864325, -0.50144, 0.0387259)","(-0.240587, -0.260592, 0.934992)","(-0.495106, 0.861659, 0.111413)","(-0.834552, -0.436452, -0.336204)","(-0.495106, 0.861659, 0.111413)","(-0.411457758, -0.890886984, 0.192413342)","(-0.484876, -0.867946, -0.107544)","(-0.431392733, 0.0288819467, 0.901701804)","(-0.606932, -0.0788472, -0.790832)","(-0.381237, -0.91043, -0.160547)","(-0.0918727, -0.995765, 0.00345573)","(0.268303, -0.929816, -0.251906)","(0.416302, -0.907574, -0.0547975)",0
0.86,"(0.0780411, -0.0102475, -2.79909e-05)","(0.0964389, -0.0335112, 0.994775)","(-0.53198, 0.842865, 0.0810902)","(-0.841608, -0.536204, 0.0646659)","(-0.252424, -0.246928, 0.935579)","(-0.53198, 0.842865, 0.0810902)","(-0.809129, -0.476837, -0.343419)","(-0.53198, 0.842865, 0.0810902)","(-0.377268744, -0.899789054, 0.219198433)","(-0.439649, -0.894086, -0.0855515)","(-0.404875701, -0.0514439825, 0.912923427)","(-0.547785, -0.323896, -0.771378)","(-0.404962, -0.905403, -0.127478)","(-0.0863037, -0.995577, 0.0371252)","(0.266279, -0.933153, -0.241499)","(0.385555, -0.922681, -0.00255342)",0
0.90,"(0.0850429, -0.0104869, -2.65116e-05)","(0.102799, 0.00374873, 0.994695)","(-0.569808, 0.819789, 0.0571426)","(-0.815614, -0.571876, 0.0879273)","(-0.23253, -0.224365, 0.946356)","(-0.569808, 0.819789, 0.0571425)","(-0.789072, -0.525618, -0.317948)","(-0.569808, 0.819789, 0.0571425)","(-0.351524799, -0.901645825, 0.25192285)","(-0.426882, -0.900262, -0.0854464)","(-0.325630042, -0.0405140327, 0.944628863)","(-0.399259, -0.346138, -0.848988)","(-0.470939, -0.873813, -0.121108)","(-0.145127, -0.986625, 0.0742308)","(0.311035, -0.921874, -0.231098)","(0.353102, -0.934105, 0.052604)",0
0.94,"(0.0908119, -0.0103581, -3.48116e-05)","(0.103854, 0.0247314, 0.994285)","(-0.608446, 0.792396, 0.0436173)","(-0.786855, -0.609424, 0.0972729)","(-0.195986, -0.203017, 0.959361)","(-0.608446, 0.792396, 0.0436173)","(-0.768879, -0.575245, -0.279141)","(-0.608446, 0.792396, 0.0436173)","(-0.318773968, -0.909302454, 0.267492439)","(-0.395569, -0.914036, -0.0898026)","(-0.262115075, 0.00620076992, 0.965016703)","(-0.251357, -0.284055, -0.925274)","(-0.523588, -0.835142, -0.168502)","(-0.199176, -0.974269, 0.105492)","(0.375647, -0.891282, -0.253979)","(0.337445, -0.934887, 0.110074)",0
0.96,"(0.0974931, -0.0091325, -4.55035e-05)","(0.104217, 0.015374, 0.994436)","(-0.639877, 0.766509, 0.0549762)","(-0.76153, -0.641946, 0.0893203)","(-0.160541, -0.202066, 0.966124)","(-0.639877, 0.766509, 0.0549762)","(-0.751034, -0.609882, -0.252967)","(-0.639877, 0.766509, 0.0549762)","(-0.241701328, -0.936165703, 0.255292468)","(-0.23586, -0.964957, -0.115018)","(-0.275668462, 0.0702631103, 0.958681383)","(-0.270965, -0.133721, -0.953256)","(-0.557023, -0.807871, -0.192533)","(-0.246661, -0.96276, 0.110688)","(0.561566, -0.774319, -0.291675)","(0.330942, -0.935732, 0.121993)",0
1.00,"(0.102968, -0.00742972, -5.6935e-05)","(0.131577, 0.0153675, 0.991187)","(-0.678939, 0.729692, 0.0811929)","(-0.721696, -0.684139, 0.105397)","(-0.0711983, -0.167823, 0.983243)","(-0.678939, 0.729692, 0.0811929)","(-0.728694, -0.66395, -0.167854)","(-0.678939, 0.729692, 0.0811929)","(-0.165900875, -0.970465577, 0.175138412)","(-0.0287227, -0.998304, 0.0506392)","(-0.43666895, 0.130833579, 0.890057752)","(-0.687359, 0.0273682, -0.725802)","(-0.509773, -0.839809, -0.186686)","(-0.252096, -0.961503, 0.109358)","(0.777138, -0.529472, -0.34017)","(0.314911, -0.941188, 0.122457)",0
1.04,"(0.107674, -0.00375245, -6.05503e-05)","(0.17623, 0.033435, 0.983781)","(-0.714802, 0.691068, 0.107159)","(-0.675717, -0.72282, 0.144699)","(0.0230249, -0.123671, 0.992056)","(-0.714802, 0.691068, 0.107159)","(-0.696725, -0.713506, -0.0740546)","(-0.714802, 0.691068, 0.107159)","(-0.0977721541, -0.991087965, 0.0904723804)","(0.182827, -0.955586, 0.23115)","(-0.601676996, 0.157318249, 0.783093711)","(-0.965778, 0.100729, -0.239013)","(-0.449001, -0.8836, -0.132852)","(-0.240069, -0.964493, 0.110094)","(0.90823, -0.255927, -0.33109)","(0.257335, -0.959833, 0.111798)",0
1.06,"(0.112589, 0.000461054, -6.30638e-05)","(0.222902, 0.105286, 0.969139)","(-0.7585, 0.642686, 0.107854)","(-0.612997, -0.757492, 0.224591)","(0.161664, 0.0390498, 0.986073)","(-0.7585, 0.642686, 0.107854)","(-0.634265, -0.76116, 0.135438)","(-0.7585, 0.642686, 0.107854)","(-0.0724664103, -0.997362726, -0.00402647788)","(0.339138, -0.78919, 0.512019)","(-0.730178476, 0.064735624, 0.680182837)","(-0.962959, -0.0800469, 0.257491)","(-0.262051, -0.960149, -0.0971719)","(-0.216213, -0.971099, 0.101086)","(0.949888, 0.0303333, -0.311115)","(0.179525, -0.97903, 0.0962883)",0
1.10,"(0.116884, 0.00429968, -5.70068e-05)","(0.202495, 0.156581, 0.966684)","(-0.788322, 0.611535, 0.0676203)","(-0.580992, -0.774784, 0.249314)","(0.165471, 0.113538, 0.979657)","(-0.788322, 0.611535, 0.0676203)","(-0.593573, -0.781243, 0.193212)","(-0.788322, 0.611535, 0.0676203)","(-0.0145061215, -0.998425284, -0.054189712)","(0.464993, -0.625685, 0.626339)","(-0.764194802, -0.0761920277, 0.640469422)","(-0.862646, -0.304528, 0.403862)","(-0.0467784, -0.995704, -0.0799135)","(-0.219775, -0.971681, 0.0868076)","(0.936229, 0.208216, -0.283058)","(0.149917, -0.985324, 0.0816172)",0
1.14,"(0.120379, 0.00712426, -3.73843e-05)","(0.162263, 0.197231, 0.966835)","(-0.81645, 0.577101, 0.0190665)","(-0.552487, -0.793622, 0.254797)","(0.130845, 0.15082, 0.979864)","(-0.81645, 0.577101, 0.0190665)","(-0.556949, -0.806426, 0.198707)","(-0.81645, 0.577101, 0.0190665)","(0.0598056754, -0.993237937, -0.0995071922)","(0.572426, -0.416445, 0.70633)","(-0.769137577, -0.263292942, 0.582326552)","(-0.443463, -0.387627, 0.808137)","(0.214891, -0.975497, -0.0472)","(-0.214871, -0.975461, 0.0480303)","(0.889766, 0.391023, -0.235411)","(0.123529, -0.992169, 0.0184697)",0
1.16,"(0.123102, 0.00845512, -2.25028e-05)","(0.0911193, 0.166118, 0.981887)","(-0.837061, 0.546857, -0.0165969)","(-0.538982, -0.820731, 0.189474)","(0.00474626, 0.031065, 0.999506)","(-0.837061, 0.546857, -0.0165969)","(-0.546292, -0.837093, 0.0290097)","(-0.837061, 0.546857, -0.0165969)","(0.153256823, -0.979940532, -0.127392702)","(0.61737, -0.273969, 0.737425)","(-0.719725095, -0.386381361, 0.576806061)","(0.118807, -0.187572, 0.975039)","(0.43475, -0.900416, -0.0156324)","(-0.204991, -0.978745, -0.00600612)","(0.891011, 0.427248, -0.153489)","(0.0985049, -0.994011, -0.047315)",0
1.20,"(0.123102, 0.00845512, -2.25028e-05)","(0.0599174, 0.130798, 0.989597)","(-0.85728, 0.514533, -0.0181137)","(-0.511109, -0.847486, 0.143302)","(-0.0216563, -0.00244477, 0.999763)","(-0.85728, 0.514533, -0.0181137)","(-0.513947, -0.857722, -0.0130976)","(-0.85728, 0.514533, -0.0181137)","(0.266237085, -0.957950942, -0.106994428)","(0.722849, -0.16734, 0.670438)","(0.388052873, 0.0445209838, 0.92056116)","(0.755114, -0.0138289, 0.655447)","(0.588702, -0.80767, 0.0331423)","(-0.187265, -0.981111, -0.0485155)","(0.918866, 0.390776, -0.054593)","(0.0895328, -0.99119, -0.0976069)",0
1.24,"(0.123102, 0.00845512, -2.25028e-05)","(0.0363043, 0.0939028, 0.994919)","(-0.873537, 0.486547, -0.0142989)","(-0.485596, -0.868499, 0.0995313)","(-0.0150384, 0.00405713, 0.999879)","(-0.873537, 0.486547, -0.0142989)","(-0.485819, -0.874051, -0.00392474)","(-0.873537, 0.486547, -0.0142989)","(0.37753553, -0.925475085, -0.0310288771)","(0.836776, -0.101334, 0.538087)","(0.401015241, 0.0570850748, 0.914291021)","(0.993262, -0.0968728, 0.0636054)","(0.687303, -0.723309, 0.0666202)","(-0.210551, -0.975407, -0.0651834)","(0.950406, 0.310308, 0.0209323)","(0.130312, -0.988127, -0.0813885)",0
1.26,"(0.123102, 0.00845512, -2.25028e-05)","(0.0437133, 0.0692746, 0.996639)","(-0.881539, 0.472076, 0.00574126)","(-0.470238, -0.878768, 0.0815072)","(0.0299559, 0.0443364, 0.998567)","(-0.881539, 0.472076, 0.00574126)","(-0.470799, -0.880645, 0.0530291)","(-0.881539, 0.472076, 0.00574126)","(0.444644909, -0.893142441, 0.0677309692)","(0.932851, -0.0829498, 0.350582)","(0.328000634, -0.028159696, 0.944257706)","(0.888646, -0.318537, -0.329913)","(0.70898, -0.700218, 0.0839184)","(-0.257146, -0.964721, -0.0564696)","(0.984839, 0.172936, 0.0136075)","(0.180946, -0.981693, -0.0594735)",0
1.30,"(0.121161, 0.00718691, -2.09159e-05)","(0.0653303, 0.0519167, 0.996512)","(-0.883205, 0.467791, 0.0334826)","(-0.464476, -0.882294, 0.0762786)","(0.0724629, 0.0658796, 0.995193)","(-0.883205, 0.467791, 0.0334826)","(-0.462552, -0.881816, 0.0919)","(-0.883205, 0.467791, 0.0334826)","(0.456242197, -0.882189735, 0.116551833)","(0.964769, -0.0986055, 0.243921)","(0.254883791, -0.157279776, 0.954095029)","(0.771646, -0.538311, -0.338797)","(0.730321, -0.681319, 0.0493444)","(-0.290083, -0.954999, -0.0618737)","(0.999443, 0.00991489, -0.0318534)","(0.203551, -0.977605, -0.0534381)",0
