time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.34,"(0.242386, -0.000690329, -1.42094e-05)","(0.912893, 0.0715726, -0.401876)","(-0.0106554, 0.988395, 0.151532)","(0.408073, -0.133984, 0.903064)","(0.924318, 0.0678384, -0.375546)","(-0.0106554, 0.988395, 0.151532)","(0.381479, -0.135892, 0.914334)","(-0.0106554, 0.988395, 0.151532)","(-0.448521, -0.859291, 0.245862)","(0.19478, -0.957036, 0.214809)","(0.785003, -0.15071, 0.60088)","(0.397717, 0.331181, 0.855652)","(0.0650225, -0.9962, -0.0579517)","(-0.0336055, -0.999434, -0.00143209)","(-0.0242981, -0.903446, -0.428012)","(-0.19163, -0.873282, -0.447947)",0
0.38,"(0.244452, -0.00289274, -2.02829e-05)","(0.899355, 0.0753344, -0.430681)","(-0.012854, 0.989057, 0.146975)","(0.437079, -0.126702, 0.890454)","(0.881565, 0.0793862, -0.46534)","(-0.012854, 0.989057, 0.146975)","(0.471964, -0.123829, 0.872878)","(-0.012854, 0.989057, 0.146975)","(-0.36941, -0.874743, 0.313625)","(0.293768, -0.927127, 0.23267)","(0.836762, -0.102488, 0.53789)","(0.441797, 0.344909, 0.828162)","(0.0711523, -0.996971, -0.03141)","(0.0698175, -0.994891, 0.0729198)","(-0.0438266, -0.8961, -0.441682)","(-0.241275, -0.827166, -0.507525)",0
0.4,"(0.247434, -0.00442981, -2.65697e-05)","(0.885257, 0.0797465, -0.458215)","(-0.0184274, 0.990368, 0.13723)","(0.464758, -0.113018, 0.878195)","(0.833323, 0.0904538, -0.545335)","(-0.0184274, 0.990368, 0.13723)","(0.552518, -0.104334, 0.826945)","(-0.0184274, 0.990368, 0.13723)","(-0.254157, -0.891728, 0.374466)","(0.466175, -0.857673, 0.216974)","(0.861007, 0.00010797, 0.508593)","(0.537938, 0.363396, 0.760636)","(0.0726875, -0.997322, 0.00808123)","(0.182081, -0.971944, 0.148904)","(-0.0756335, -0.91088, -0.405681)","(-0.219009, -0.790674, -0.571725)",0
0.44,"(0.250351, -0.00464835, -3.08333e-05)","(0.864056, 0.0980629, -0.493751)","(-0.0300994, 0.989273, 0.142944)","(0.502622, -0.107742, 0.857766)","(0.784228, 0.112477, -0.610192)","(-0.0300994, 0.989273, 0.142944)","(0.619796, -0.0922548, 0.779321)","(-0.0300994, 0.989273, 0.142944)","(-0.053263, -0.895084, 0.442704)","(0.677392, -0.725953, 0.118883)","(0.881641, 0.143944, 0.449432)","(0.697058, 0.361981, 0.618934)","(0.0728027, -0.995735, 0.0566725)","(0.251634, -0.959616, 0.125769)","(-0.11334, -0.929009, -0.352272)","(-0.134527, -0.789342, -0.599034)",0
0.48,"(0.253911, -0.00357203, -3.08577e-05)","(0.841582, 0.121459, -0.526295)","(-0.0413163, 0.986149, 0.160636)","(0.538686, -0.112582, 0.834951)","(0.741812, 0.138413, -0.656169)","(-0.0413163, 0.986149, 0.160636)","(0.669398, -0.0908002, 0.737335)","(-0.0413163, 0.986149, 0.160636)","(0.160036, -0.866446, 0.472926)","(0.819492, -0.572792, 0.0184897)","(0.895468, 0.243312, 0.372743)","(0.808397, 0.342242, 0.47892)","(0.07386, -0.992427, 0.0981453)","(0.283913, -0.957333, 0.0539172)","(-0.139386, -0.942071, -0.30508)","(-0.0278113, -0.796353, -0.604192)",0
0.5,"(0.257891, -0.00234326, -2.77402e-05)","(0.821751, 0.154453, -0.548516)","(-0.0546487, 0.979549, 0.193644)","(0.567524, -0.128889, 0.813206)","(0.699643, 0.176337, -0.692391)","(-0.0546488, 0.979549, 0.193644)","(0.712576, -0.0968375, 0.69488)","(-0.0546488, 0.979549, 0.193644)","(0.371542, -0.767123, 0.522952)","(0.910906, -0.409031, -0.0542618)","(0.920306, 0.244817, 0.305127)","(0.885029, 0.289612, 0.364484)","(0.0668018, -0.99166, 0.110218)","(0.270191, -0.960133, -0.0716994)","(-0.15001, -0.942844, -0.29756)","(0.0673422, -0.813088, -0.578233)",0
0.54,"(0.262312, -0.00142148, -2.37735e-05)","(0.81469, 0.17699, -0.552227)","(-0.0605674, 0.973084, 0.222348)","(0.577146, -0.147507, 0.803209)","(0.679762, 0.203716, -0.704573)","(-0.0605674, 0.973084, 0.222348)","(0.731195, -0.107743, 0.673606)","(-0.0605674, 0.973084, 0.222348)","(0.530466, -0.637326, 0.558947)","(0.96027, -0.269178, -0.0736536)","(0.95154, 0.157123, 0.264354)","(0.913903, 0.215734, 0.34386)","(0.0494629, -0.993298, 0.104463)","(0.249453, -0.960305, -0.124853)","(-0.15047, -0.940621, -0.304287)","(0.147078, -0.832084, -0.534794)",0
0.58,"(0.267323, -0.00163339, -2.02012e-05)","(0.809307, 0.19688, -0.553408)","(-0.0667908, 0.966898, 0.246265)","(0.583621, -0.162296, 0.795642)","(0.662415, 0.227558, -0.713739)","(-0.0667908, 0.966898, 0.246265)","(0.746188, -0.115408, 0.655655)","(-0.0667908, 0.966898, 0.246265)","(0.667639, -0.46012, 0.585276)","(0.987003, -0.137319, -0.0834775)","(0.974658, 0.0220851, 0.222605)","(0.931145, 0.125936, 0.342212)","(0.021265, -0.995, 0.0975842)","(0.225054, -0.960808, -0.161862)","(-0.150453, -0.938671, -0.310258)","(0.224883, -0.867751, -0.44321)",0
0.6,"(0.273874, -0.00282041, -1.62764e-05)","(0.806036, 0.20264, -0.556096)","(-0.0687011, 0.965238, 0.252183)","(0.587866, -0.165061, 0.79194)","(0.661797, 0.233246, -0.712475)","(-0.0687011, 0.965238, 0.252183)","(0.746529, -0.11794, 0.654817)","(-0.0687011, 0.965238, 0.252183)","(0.732313, -0.334374, 0.593222)","(0.994227, -0.0833161, -0.0676151)","(0.97873, -0.0795233, 0.189114)","(0.93471, 0.0442932, 0.35264)","(-0.00627827, -0.996582, 0.0823702)","(0.204667, -0.969322, -0.136111)","(-0.16256, -0.930338, -0.328703)","(0.258401, -0.898996, -0.353603)",0
0.64,"(0.279311, -0.00425289, -1.54209e-05)","(0.807303, 0.201611, -0.554631)","(-0.0709877, 0.966198, 0.247836)","(0.585854, -0.160692, 0.794325)","(0.667132, 0.230746, -0.708301)","(-0.0709877, 0.966198, 0.247836)","(0.74155, -0.115022, 0.660964)","(-0.0709877, 0.966198, 0.247836)","(0.752456, -0.281769, 0.595329)","(0.994863, -0.0965345, -0.0304782)","(0.974908, -0.111591, 0.192619)","(0.932244, 0.00888945, 0.361721)","(-0.0447329, -0.996673, 0.0681268)","(0.187848, -0.979074, -0.07828)","(-0.179681, -0.915274, -0.36054)","(0.264383, -0.914251, -0.306996)",0
0.68,"(0.285689, -0.00694833, -1.61698e-05)","(0.820095, 0.19686, -0.5373)","(-0.0711478, 0.96676, 0.245586)","(0.567787, -0.163163, 0.806843)","(0.680028, 0.227149, -0.697112)","(-0.0711478, 0.96676, 0.245586)","(0.729726, -0.117392, 0.673586)","(-0.0711478, 0.96676, 0.245586)","(0.752787, -0.281555, 0.595012)","(0.993055, -0.117266, 0.00955952)","(0.973446, -0.0972461, 0.207236)","(0.933646, -0.00905941, 0.358083)","(-0.0854421, -0.994779, 0.0558022)","(0.170114, -0.984975, -0.0297605)","(-0.189912, -0.896478, -0.400326)","(0.265826, -0.906593, -0.327758)",0
