time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.533333,"(0.00997015, -0.0510884, -4.74649e-05)","(-0.218806, 0.964445, 0.148223)","(-0.124111, -0.956819, -0.262857)","(0.886594, -0.455121, 0.0825527)","(-0.157202, -0.954663, 0.252797)","(-0.613045, -0.744445, 0.264531)","(-0.51906, -0.84647, 0.118595)","(-0.362683, -0.879521, 0.308065)","(0, 0, 0)","(0, 0, 0)",0
0.566667,"(0.00917425, -0.0483559, -5.10668e-05)","(-0.219573, 0.963322, 0.154269)","(-0.121352, -0.959016, -0.25605)","(0.885738, -0.455644, 0.0886345)","(-0.148998, -0.956007, 0.252686)","(-0.621698, -0.727001, 0.291483)","(-0.507722, -0.853007, 0.120818)","(-0.344909, -0.879805, 0.32708)","(0, 0, 0)","(0, 0, 0)",0
0.6,"(0.00834105, -0.0452382, -5.56404e-05)","(-0.217899, 0.963579, 0.155034)","(-0.12241, -0.961757, -0.24503)","(0.88164, -0.462042, 0.0960634)","(-0.147229, -0.953175, 0.264163)","(-0.627249, -0.709713, 0.320727)","(-0.49476, -0.860656, 0.120348)","(-0.364872, -0.862632, 0.350335)","(0, 0, 0)","(0, 0, 0)",0
0.633333,"(0.00765882, -0.0416642, -5.72266e-05)","(-0.216412, 0.964005, 0.15447)","(-0.121808, -0.963949, -0.23657)","(0.877382, -0.468132, 0.105138)","(-0.148496, -0.949042, 0.277973)","(-0.634578, -0.69867, 0.330411)","(-0.489649, -0.865819, 0.102965)","(-0.407058, -0.838871, 0.361386)","(0, 0, 0)","(0, 0, 0)",0
0.666667,"(0.00714891, -0.0381978, -5.78372e-05)","(-0.21526, 0.964933, 0.150224)","(-0.117285, -0.967035, -0.226024)","(0.874222, -0.471805, 0.114613)","(-0.150693, -0.945257, 0.289448)","(-0.63748, -0.694361, 0.333889)","(-0.488434, -0.868405, 0.0854698)","(-0.466746, -0.789225, 0.399089)","(0, 0, 0)","(0, 0, 0)",0
0.7,"(0.00681303, -0.0350402, -5.87804e-05)","(-0.214441, 0.965987, 0.144516)","(-0.109722, -0.969097, -0.220936)","(0.872633, -0.473645, 0.119046)","(-0.147377, -0.943993, 0.295223)","(-0.642366, -0.69588, 0.321119)","(-0.485939, -0.871009, 0.0721522)","(-0.509745, -0.749516, 0.422357)","(0, 0, 0)","(0, 0, 0)",0
0.733333,"(0.00656046, -0.0318684, -5.91481e-05)","(-0.213683, 0.967286, 0.136739)","(-0.100878, -0.971086, -0.21637)","(0.871137, -0.476108, 0.120174)","(-0.144454, -0.942905, 0.300105)","(-0.644855, -0.697016, 0.313579)","(-0.484557, -0.871499, 0.0754659)","(-0.530689, -0.716295, 0.453089)","(0, 0, 0)","(0, 0, 0)",0
0.766667,"(0.00639194, -0.0286886, -6.06639e-05)","(-0.213215, 0.967866, 0.133322)","(-0.0978739, -0.970308, -0.221187)","(0.870702, -0.478073, 0.115434)","(-0.139427, -0.942185, 0.304711)","(-0.646846, -0.69662, 0.310339)","(-0.478564, -0.874207, 0.0820869)","(-0.528691, -0.724409, 0.442399)","(0, 0, 0)","(0, 0, 0)",0
0.8,"(0.00624195, -0.025743, -6.2952e-05)","(-0.213103, 0.968995, 0.125045)","(-0.0980849, -0.96976, -0.223486)","(0.871215, -0.478486, 0.109708)","(-0.138711, -0.938583, 0.315945)","(-0.646327, -0.694217, 0.31674)","(-0.479802, -0.871889, 0.0979747)","(-0.53141, -0.715908, 0.452856)","(0, 0, 0)","(0, 0, 0)",0
0.833333,"(0.00639507, -0.0226321, -6.69321e-05)","(-0.21358, 0.970214, 0.114315)","(-0.101726, -0.969164, -0.224439)","(0.87278, -0.476703, 0.104925)","(-0.144483, -0.930861, 0.335591)","(-0.643282, -0.692682, 0.326158)","(-0.486487, -0.865951, 0.116016)","(-0.537797, -0.705801, 0.461106)","(0, 0, 0)","(0, 0, 0)",0
