time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.4004,"(-0.00389255, 0.0169761, 7.0842e-06)","(0.911896, -0.164642, 0.37595)","(0.193418, 0.98031, -0.0397604)","(-0.362017, 0.108966, 0.925781)","(0.734379, -0.117788, 0.668441)","(0.193418, 0.98031, -0.0397604)","(-0.650615, 0.158497, 0.742684)","(0.193418, 0.98031, -0.0397604)","(0, 0, 0)","(-0.732317, -0.659007, -0.171526)","(0, 0, 0)","(-0.621589, 0.237195, -0.746569)","(-0.144321, -0.989452, -0.0125373)","(0.161289, -0.984424, 0.0699688)","(-0.0289362, -0.977414, -0.209342)","(0.478342, -0.826364, -0.297172)",0
0.433767,"(-0.00389255, 0.0169761, 7.0842e-06)","(0.909665, -0.162467, 0.382248)","(0.193635, 0.980075, -0.0442619)","(-0.367441, 0.11428, 0.922999)","(0.738193, -0.115827, 0.664572)","(0.193635, 0.980075, -0.0442619)","(-0.646203, 0.161359, 0.745912)","(0.193635, 0.980075, -0.0442619)","(0, 0, 0)","(-0.728216, -0.666382, -0.160115)","(0, 0, 0)","(-0.645049, 0.234159, -0.72738)","(-0.145182, -0.989338, -0.0114788)","(0.160063, -0.984822, 0.0671235)","(-0.0275262, -0.977824, -0.207611)","(0.482705, -0.825921, -0.291293)",0
0.467133,"(-0.00390686, 0.0194675, 2.70754e-06)","(0.906561, -0.161497, 0.389956)","(0.193504, 0.980114, -0.0439661)","(-0.3751, 0.115322, 0.919783)","(0.741802, -0.116829, 0.660364)","(0.193504, 0.980114, -0.043966)","(-0.642097, 0.160395, 0.749657)","(0.193504, 0.980114, -0.0439661)","(0, 0, 0)","(-0.720566, -0.676601, -0.15164)","(0, 0, 0)","(-0.675436, 0.226515, -0.701767)","(-0.145879, -0.989235, -0.011557)","(0.160148, -0.984955, 0.0649301)","(-0.0255899, -0.978592, -0.204215)","(0.485961, -0.825603, -0.286743)",0
0.5005,"(-0.00390686, 0.0194675, 2.70754e-06)","(0.90316, -0.161178, 0.397899)","(0.193906, 0.980072, -0.0431249)","(-0.383018, 0.116106, 0.916415)","(0.743221, -0.118068, 0.658546)","(0.193906, 0.980072, -0.0431249)","(-0.640331, 0.159747, 0.751304)","(0.193906, 0.980072, -0.0431249)","(0, 0, 0)","(-0.7045, -0.695396, -0.141787)","(0, 0, 0)","(-0.70974, 0.217801, -0.66995)","(-0.146917, -0.989075, -0.0120606)","(0.160553, -0.984994, 0.0633264)","(-0.0232063, -0.979394, -0.200622)","(0.488768, -0.825148, -0.28326)",0
0.533867,"(-0.00390686, 0.0194675, 2.70754e-06)","(0.90128, -0.159067, 0.40298)","(0.1943, 0.979777, -0.0477914)","(-0.387242, 0.121371, 0.913954)","(0.746932, -0.116232, 0.654663)","(0.1943, 0.979777, -0.0477914)","(-0.635877, 0.162932, 0.754396)","(0.1943, 0.979777, -0.0477914)","(0, 0, 0)","(-0.690629, -0.71166, -0.128729)","(0, 0, 0)","(-0.737432, 0.211247, -0.641536)","(-0.14755, -0.988985, -0.0117071)","(0.16127, -0.984914, 0.0627379)","(-0.0215682, -0.980489, -0.195385)","(0.490348, -0.824547, -0.282279)",0
0.567233,"(-0.00390686, 0.0194675, 2.70754e-06)","(0.900359, -0.157074, 0.405809)","(0.195191, 0.979278, -0.0539835)","(-0.388938, 0.127814, 0.912355)","(0.750297, -0.113679, 0.651254)","(0.195191, 0.979278, -0.0539835)","(-0.63164, 0.167649, 0.756918)","(0.195191, 0.979278, -0.0539835)","(0, 0, 0)","(-0.684144, -0.719884, -0.117108)","(0, 0, 0)","(-0.738722, 0.238122, -0.630545)","(-0.14742, -0.989009, -0.0113476)","(0.161972, -0.984775, 0.0631145)","(-0.0214757, -0.981368, -0.190932)","(0.491051, -0.824348, -0.281637)",0
0.6006,"(-0.00390686, 0.0194675, 2.70754e-06)","(0.898064, -0.155308, 0.411534)","(0.197732, 0.97828, -0.0622086)","(-0.392927, 0.137248, 0.90927)","(0.745842, -0.108868, 0.657166)","(0.197732, 0.97828, -0.0622086)","(-0.636123, 0.176334, 0.751168)","(0.197732, 0.97828, -0.0622086)","(0, 0, 0)","(-0.688655, -0.71711, -0.107272)","(0, 0, 0)","(-0.719749, 0.277131, -0.636522)","(-0.14781, -0.988946, -0.0117123)","(0.162093, -0.9847, 0.0639703)","(-0.0212999, -0.982505, -0.185016)","(0.491934, -0.824383, -0.27999)",0
0.633967,"(-0.00390686, 0.0194675, 2.70754e-06)","(0.894548, -0.154058, 0.419582)","(0.200792, 0.977191, -0.0691385)","(-0.399361, 0.146098, 0.905078)","(0.732278, -0.102669, 0.673222)","(0.200792, 0.977191, -0.0691384)","(-0.650789, 0.185759, 0.736184)","(0.200792, 0.977191, -0.0691384)","(0, 0, 0)","(-0.69383, -0.712393, -0.105339)","(0, 0, 0)","(-0.695886, 0.31465, -0.645553)","(-0.149046, -0.98875, -0.0126196)","(0.16174, -0.984743, 0.0641942)","(-0.0205641, -0.983191, -0.18142)","(0.493359, -0.823861, -0.279016)",0
0.667333,"(-0.00380723, 0.0216371, 5.37746e-07)","(0.889422, -0.15341, 0.430574)","(0.203679, 0.976325, -0.0728278)","(-0.409209, 0.152479, 0.89961)","(0.716341, -0.0978589, 0.690853)","(0.203679, 0.976325, -0.0728278)","(-0.667378, 0.192869, 0.71931)","(0.203679, 0.976325, -0.0728278)","(0, 0, 0)","(-0.696484, -0.709092, -0.109997)","(0, 0, 0)","(-0.693538, 0.318466, -0.646208)","(-0.152532, -0.988196, -0.0142141)","(0.159817, -0.985088, 0.0637227)","(-0.0193937, -0.983943, -0.177427)","(0.495324, -0.82276, -0.278781)",0
0.7007,"(-0.00380723, 0.0216371, 5.37746e-07)","(0.884719, -0.152918, 0.440329)","(0.205374, 0.975899, -0.073773)","(-0.418435, 0.155724, 0.894797)","(0.705733, -0.0954589, 0.702017)","(0.205374, 0.975899, -0.073773)","(-0.678052, 0.196265, 0.708325)","(0.205374, 0.975899, -0.073773)","(0, 0, 0)","(-0.697232, -0.707387, -0.116067)","(0, 0, 0)","(-0.703712, 0.300036, -0.644025)","(-0.156153, -0.987624, -0.0146884)","(0.157009, -0.9856, 0.0627693)","(-0.0195105, -0.984364, -0.175064)","(0.497292, -0.821449, -0.279148)",0
0.734067,"(-0.00380723, 0.0216371, 5.37746e-07)","(0.879629, -0.150191, 0.451325)","(0.207118, 0.975122, -0.0789856)","(-0.428268, 0.162936, 0.888841)","(0.693438, -0.0892224, 0.71497)","(0.207118, 0.975122, -0.0789856)","(-0.690195, 0.202748, 0.694639)","(0.207118, 0.975122, -0.0789856)","(0, 0, 0)","(-0.69942, -0.704134, -0.122502)","(0, 0, 0)","(-0.712796, 0.266525, -0.648757)","(-0.160196, -0.98699, -0.0137059)","(0.150259, -0.98656, 0.0642059)","(-0.0196741, -0.985905, -0.166147)","(0.501738, -0.82081, -0.273)",0
0.767433,"(-0.00329672, 0.0245274, -9.05991e-07)","(0.874582, -0.142045, 0.463605)","(0.208469, 0.973457, -0.094459)","(-0.438036, 0.179169, 0.880922)","(0.677308, -0.0735793, 0.732011)","(0.208469, 0.973457, -0.094459)","(-0.705851, 0.216199, 0.674561)","(0.208469, 0.973457, -0.094459)","(0, 0, 0)","(-0.702373, -0.700099, -0.128584)","(0, 0, 0)","(-0.704982, 0.231027, -0.670542)","(-0.163251, -0.986524, -0.0109156)","(0.141406, -0.987742, 0.0661019)","(-0.0198954, -0.987947, -0.153509)","(0.507747, -0.821256, -0.260251)",0
0.8008,"(-0.00329672, 0.0245274, -9.05991e-07)","(0.868986, -0.133003, 0.476628)","(0.209019, 0.971744, -0.109659)","(-0.448636, 0.194863, 0.872212)","(0.661888, -0.0578877, 0.747364)","(0.209019, 0.971744, -0.109659)","(-0.719975, 0.228657, 0.65525)","(0.209019, 0.971744, -0.109659)","(0, 0, 0)","(-0.705735, -0.695975, -0.132502)","(0, 0, 0)","(-0.691031, 0.20892, -0.691974)","(-0.166269, -0.986045, -0.00838425)","(0.133543, -0.988709, 0.0679797)","(-0.018736, -0.989908, -0.140468)","(0.512484, -0.821806, -0.248988)",0
0.834167,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.863435, -0.127722, 0.488023)","(0.208917, 0.971085, -0.115535)","(-0.459157, 0.201725, 0.865149)","(0.653551, -0.0507578, 0.755179)","(0.208917, 0.971085, -0.115535)","(-0.727482, 0.23328, 0.645252)","(0.208917, 0.971085, -0.115535)","(0, 0, 0)","(-0.705299, -0.695832, -0.135541)","(0, 0, 0)","(-0.683852, 0.201868, -0.701139)","(-0.168386, -0.985688, -0.00809527)","(0.130614, -0.989119, 0.0676998)","(-0.017856, -0.990579, -0.135771)","(0.513773, -0.822154, -0.245153)",0
0.867533,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.858037, -0.127747, 0.497446)","(0.20833, 0.97187, -0.10985)","(-0.469427, 0.197908, 0.860506)","(0.648907, -0.0533372, 0.758996)","(0.20833, 0.97187, -0.10985)","(-0.731793, 0.229428, 0.641749)","(0.20833, 0.97187, -0.10985)","(0, 0, 0)","(-0.703753, -0.696082, -0.142132)","(0, 0, 0)","(-0.685858, 0.203521, -0.698697)","(-0.170022, -0.985384, -0.0105488)","(0.131838, -0.989024, 0.0667109)","(-0.0167576, -0.990026, -0.139884)","(0.512623, -0.821756, -0.248868)",0
0.9009,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.852965, -0.128482, 0.505909)","(0.207843, 0.972672, -0.103489)","(-0.478793, 0.193443, 0.856351)","(0.642338, -0.0559686, 0.764375)","(0.207843, 0.972672, -0.103489)","(-0.737697, 0.225382, 0.636401)","(0.207843, 0.972672, -0.10349)","(0, 0, 0)","(-0.702403, -0.695103, -0.153175)","(0, 0, 0)","(-0.676634, 0.2149, -0.704261)","(-0.171238, -0.985134, -0.0137368)","(0.133465, -0.988911, 0.065135)","(-0.014905, -0.988904, -0.14781)","(0.512422, -0.820793, -0.252433)",0
0.934267,"(-0.00294806, 0.0266805, -6.07781e-07)","(0.847918, -0.128592, 0.514295)","(0.207174, 0.97336, -0.0982309)","(-0.487963, 0.189848, 0.851968)","(0.635041, -0.0574353, 0.77034)","(0.207174, 0.97336, -0.0982309)","(-0.744177, 0.221986, 0.630018)","(0.207174, 0.97336, -0.0982309)","(0, 0, 0)","(-0.70167, -0.693233, -0.164583)","(0, 0, 0)","(-0.659227, 0.230826, -0.715639)","(-0.172164, -0.984932, -0.0163962)","(0.134919, -0.988804, 0.0637447)","(-0.0115101, -0.987646, -0.156279)","(0.51302, -0.819281, -0.256105)",0
