time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.466667,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.0104078, 0.994472, 0.104483)","(0.164205, -0.984908, -0.0547075)","(-0.293081, -0.951793, 0.0905183)","(-0.163947, -0.941882, -0.293223)","(0.0708322, -0.972637, -0.221269)","(0.033714, -0.974349, -0.222502)","(-0.0446861, -0.995229, -0.0867331)","(0.165039, -0.976919, 0.135613)","(0.234663, -0.966275, 0.106047)",0
0.5,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.0140165, 0.993182, 0.115728)","(0.158744, -0.986547, -0.0390598)","(-0.286893, -0.950499, 0.119349)","(-0.15155, -0.958684, -0.240744)","(0.0613327, -0.9828, -0.174194)","(0.0419922, -0.965427, -0.257268)","(-0.045538, -0.993439, -0.104908)","(0.184867, -0.908083, 0.375778)","(0.244225, -0.907909, 0.34067)",0
0.533333,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.0180537, 0.990752, 0.134477)","(0.151658, -0.988324, -0.014713)","(-0.282803, -0.946881, 0.1531)","(-0.136426, -0.975956, -0.169993)","(0.0530072, -0.993713, -0.0986182)","(0.0490171, -0.947345, -0.316442)","(-0.0576491, -0.991151, -0.119569)","(0.179392, -0.775367, 0.605496)","(0.2506, -0.779712, 0.573803)",0
0.566667,"(-0.00155319, -0.00214722, 1.78162e-06)","(0.0202148, 0.987401, 0.156944)","(0.149925, -0.988697, 0.000498492)","(-0.285853, -0.941718, 0.177357)","(-0.12134, -0.983257, -0.13595)","(0.0517585, -0.996635, -0.0635544)","(0.070899, -0.939466, -0.335227)","(-0.06793, -0.986375, -0.149835)","(0.144676, -0.734917, 0.662545)","(0.264139, -0.726275, 0.63463)",0
0.6,"(-0.00362793, -0.00266552, 5.87357e-05)","(0.0267359, 0.985245, 0.169052)","(0.147784, -0.989018, -0.00207077)","(-0.300245, -0.93833, 0.171434)","(-0.104809, -0.983227, -0.149265)","(0.0449318, -0.997128, -0.0609665)","(0.0972361, -0.934641, -0.34204)","(-0.0706988, -0.98178, -0.176379)","(0.038854, -0.89465, 0.445075)","(0.282587, -0.794009, 0.538233)",0
0.633333,"(-0.00362793, -0.00266552, 5.87357e-05)","(0.034062, 0.986965, 0.157288)","(0.141555, -0.989852, -0.0124971)","(-0.312934, -0.939507, 0.139277)","(-0.0875044, -0.98036, -0.176741)","(0.0333284, -0.994815, -0.0960875)","(0.125144, -0.952945, -0.276106)","(-0.0562614, -0.981172, -0.184761)","(-0.192078, -0.979803, 0.0556089)","(0.272691, -0.895856, 0.350831)",0
0.666667,"(-0.00407892, -0.00658394, 4.33113e-05)","(0.0372188, 0.985444, 0.165874)","(0.116355, -0.993173, -0.00836517)","(-0.31581, -0.942442, 0.109851)","(-0.0725365, -0.987575, -0.139403)","(0.0373921, -0.99376, -0.105081)","(0.136385, -0.969572, -0.203294)","(-0.0370743, -0.982229, -0.183988)","(-0.422125, -0.90539, 0.0455964)","(0.254994, -0.919424, 0.299395)",0
0.7,"(-0.00452923, -0.00928789, 3.85456e-05)","(0.0347611, 0.984092, 0.174224)","(0.0868989, -0.996165, 0.0101495)","(-0.298366, -0.950257, 0.0893789)","(-0.0691076, -0.994229, -0.0820492)","(0.0759394, -0.99344, -0.0855019)","(0.136637, -0.97858, -0.153985)","(-0.0224801, -0.982866, -0.182945)","(-0.544483, -0.77047, 0.331532)","(0.238318, -0.87271, 0.426124)",0
0.733333,"(-0.00465676, -0.0134874, 3.27162e-05)","(0.0236498, 0.983024, 0.181949)","(0.0496238, -0.998381, 0.0278065)","(-0.27932, -0.955396, 0.0959083)","(-0.078474, -0.995081, -0.0604695)","(0.141227, -0.989407, -0.0336056)","(0.148738, -0.977504, -0.14954)","(-0.0190293, -0.982601, -0.184754)","(-0.454035, -0.641083, 0.618761)","(0.206324, -0.804025, 0.557651)",0
0.766667,"(-0.00410837, -0.0170344, 3.11275e-05)","(-0.0031478, 0.989275, 0.146034)","(0.0284743, -0.998592, 0.0447636)","(-0.260595, -0.960746, 0.095166)","(-0.0703419, -0.99487, -0.0726968)","(0.231553, -0.969878, 0.0756232)","(0.133048, -0.979997, -0.148001)","(-0.0288782, -0.993578, -0.109401)","(-0.38104, -0.762867, 0.522343)","(0.183818, -0.843437, 0.504801)",0
0.8,"(-0.0026998, -0.0190532, 2.66136e-05)","(-0.04465, 0.990705, 0.128493)","(-0.00903872, -0.998965, 0.0445765)","(-0.228935, -0.971181, 0.0663083)","(-0.0366941, -0.995947, -0.0821115)","(0.290565, -0.944122, 0.155582)","(0.0894868, -0.990867, -0.100874)","(-0.0426813, -0.998666, -0.0290515)","(-0.297415, -0.897164, 0.32656)","(0.164972, -0.953708, 0.251445)",0
0.833333,"(-0.000815952, -0.0201284, 1.76699e-05)","(-0.0789572, 0.986731, 0.141874)","(-0.0611215, -0.996962, 0.0482893)","(-0.20295, -0.979158, 0.00780825)","(0.0207503, -0.998535, -0.0499703)","(0.29845, -0.927092, 0.226778)","(0.0683642, -0.996207, -0.0538262)","(-0.0551829, -0.998146, 0.025684)","(-0.250886, -0.965808, 0.0653469)","(0.127358, -0.991045, -0.0401345)",0
0.866667,"(0.0011994, -0.0204424, 1.02574e-05)","(-0.0872342, 0.979908, 0.179363)","(-0.108565, -0.991597, 0.0703489)","(-0.185866, -0.981797, -0.0391002)","(0.0310658, -0.999515, -0.00196355)","(0.24005, -0.945555, 0.219778)","(0.0880135, -0.995463, -0.0361642)","(-0.0612166, -0.9981, 0.00696396)","(-0.247502, -0.966393, -0.0694832)","(0.058852, -0.976017, -0.20959)",0
