time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0.467133,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.037019, 0.890348, 0.453774)","(-0.199068, -0.941532, -0.271827)","(0.0889059, -0.965145, -0.246154)","(0.113251, -0.936026, 0.333212)","(0.165097, -0.926446, 0.338291)","(0.104792, -0.994483, 0.00469774)","(-0.175896, -0.984326, 0.0127802)","(0.0050371, -0.972367, -0.233402)","(-0.048662, -0.959977, -0.275821)",0
0.5005,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0366926, 0.890803, 0.452905)","(-0.200303, -0.941375, -0.271461)","(0.0880103, -0.966946, -0.239311)","(0.112331, -0.936011, 0.333564)","(0.163337, -0.926225, 0.339747)","(0.104975, -0.994465, 0.0043969)","(-0.177807, -0.983974, 0.0134075)","(0.00361656, -0.972141, -0.23437)","(-0.0426017, -0.962149, -0.269174)",0
0.533867,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0365907, 0.891374, 0.451789)","(-0.2011, -0.941492, -0.270466)","(0.0868551, -0.968323, -0.234109)","(0.111383, -0.935776, 0.334541)","(0.160908, -0.92638, 0.340482)","(0.10524, -0.994437, 0.00445257)","(-0.179904, -0.983589, 0.0136961)","(0.00272926, -0.972335, -0.233577)","(-0.0388458, -0.963618, -0.264446)",0
0.567233,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0365703, 0.892279, 0.45)","(-0.201481, -0.941918, -0.268694)","(0.0854778, -0.969693, -0.228889)","(0.110914, -0.935721, 0.334851)","(0.158863, -0.926497, 0.341124)","(0.105347, -0.994425, 0.00468116)","(-0.181661, -0.983265, 0.0137683)","(-0.00013345, -0.972592, -0.232519)","(-0.0320142, -0.964907, -0.260632)",0
0.6006,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0366763, 0.893321, 0.44792)","(-0.201524, -0.942403, -0.266953)","(0.0841126, -0.970158, -0.227416)","(0.111061, -0.936151, 0.333597)","(0.157681, -0.926783, 0.340895)","(0.104076, -0.994563, 0.00363384)","(-0.181071, -0.983374, 0.013717)","(-0.00542935, -0.972564, -0.232574)","(-0.0230067, -0.965301, -0.260123)",0
0.633967,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0368679, 0.894359, 0.445828)","(-0.201319, -0.942957, -0.265146)","(0.0833274, -0.97062, -0.22573)","(0.111518, -0.9368, 0.331616)","(0.157895, -0.92695, 0.340343)","(0.102084, -0.994773, 0.00218969)","(-0.180003, -0.983573, 0.0135472)","(-0.0125246, -0.972424, -0.232883)","(-0.0127853, -0.96584, -0.258824)",0
0.667333,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0372234, 0.894826, 0.44486)","(-0.200705, -0.943274, -0.264484)","(0.0829997, -0.970756, -0.225262)","(0.111759, -0.937353, 0.329969)","(0.158171, -0.927326, 0.339187)","(0.0991231, -0.995075, 0.000354317)","(-0.179096, -0.983742, 0.013292)","(-0.0190296, -0.972406, -0.232518)","(-0.00419243, -0.9669, -0.255122)",0
0.7007,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0375022, 0.895052, 0.444383)","(-0.199591, -0.94362, -0.264094)","(0.0828311, -0.970812, -0.225086)","(0.111131, -0.937747, 0.329059)","(0.158456, -0.927642, 0.33819)","(0.0973278, -0.995252, -0.000560378)","(-0.178619, -0.983833, 0.0129795)","(-0.0231418, -0.97259, -0.231373)","(-0.000338701, -0.968101, -0.250559)",0
0.734067,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0376785, 0.894689, 0.445097)","(-0.197026, -0.944322, -0.26351)","(0.0827617, -0.970792, -0.225196)","(0.109938, -0.938273, 0.32796)","(0.158141, -0.92806, 0.337189)","(0.0965886, -0.995324, -0.00129341)","(-0.178635, -0.983833, 0.0127497)","(-0.0241752, -0.972786, -0.230439)","(0.00202068, -0.969459, -0.245245)",0
0.767433,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0375774, 0.89411, 0.446268)","(-0.194804, -0.945034, -0.262606)","(0.0823974, -0.970742, -0.225545)","(0.108908, -0.938886, 0.326545)","(0.157972, -0.928249, 0.336747)","(0.0969286, -0.995289, -0.00228467)","(-0.178714, -0.98382, 0.0126449)","(-0.0223986, -0.972688, -0.231035)","(0.00206679, -0.970211, -0.242252)",0
0.8008,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0375471, 0.893582, 0.447327)","(-0.192983, -0.945701, -0.261548)","(0.0818533, -0.969932, -0.2292)","(0.108942, -0.939716, 0.324139)","(0.15831, -0.927645, 0.338249)","(0.0971238, -0.995265, -0.00384128)","(-0.178304, -0.983897, 0.0124434)","(-0.0204306, -0.972079, -0.233762)","(0.00153679, -0.969934, -0.243364)",0
0.834167,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0375639, 0.893831, 0.446828)","(-0.193275, -0.945706, -0.261313)","(0.0814605, -0.967985, -0.237421)","(0.109544, -0.940439, 0.32183)","(0.159178, -0.926187, 0.341818)","(0.0956818, -0.995394, -0.00601166)","(-0.177235, -0.984093, 0.0122135)","(-0.0183732, -0.971022, -0.238281)","(0.000525148, -0.968586, -0.248676)",0
0.867533,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.037856, 0.894656, 0.44515)","(-0.194904, -0.94528, -0.261645)","(0.0817758, -0.965084, -0.248847)","(0.110781, -0.941198, 0.319178)","(0.160272, -0.924512, 0.34582)","(0.093035, -0.995631, -0.00797979)","(-0.175648, -0.984381, 0.0118988)","(-0.016515, -0.96987, -0.243064)","(-0.000647317, -0.966733, -0.255787)",0
0.9009,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0381576, 0.895824, 0.442768)","(-0.197388, -0.944505, -0.262581)","(0.0824251, -0.962464, -0.258592)","(0.111834, -0.941844, 0.316897)","(0.161209, -0.923229, 0.348798)","(0.089718, -0.995924, -0.00931848)","(-0.173578, -0.98475, 0.0117568)","(-0.0150038, -0.969066, -0.246344)","(-0.00144758, -0.964932, -0.262495)",0
0.934267,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0384265, 0.897053, 0.44025)","(-0.200597, -0.943365, -0.264242)","(0.0833725, -0.960766, -0.264532)","(0.112436, -0.942484, 0.314772)","(0.162168, -0.922537, 0.350182)","(0.0869733, -0.996158, -0.0102158)","(-0.17167, -0.985085, 0.0116835)","(-0.0139559, -0.968589, -0.248277)","(-0.00231394, -0.963358, -0.268208)",0
0.967633,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0387808, 0.899009, 0.43621)","(-0.203179, -0.942668, -0.264756)","(0.0845695, -0.959456, -0.268874)","(0.113199, -0.943304, 0.31203)","(0.162899, -0.922083, 0.351038)","(0.0852726, -0.996296, -0.0111219)","(-0.170289, -0.985327, 0.011508)","(-0.0133716, -0.968218, -0.249751)","(-0.00414695, -0.961559, -0.274567)",0
1.001,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0392204, 0.900822, 0.432414)","(-0.205238, -0.942328, -0.264378)","(0.0860798, -0.958864, -0.270499)","(0.114281, -0.943885, 0.309873)","(0.163664, -0.922016, 0.350856)","(0.0847776, -0.996327, -0.012038)","(-0.170035, -0.985372, 0.0114009)","(-0.0118668, -0.967894, -0.251077)","(-0.00768915, -0.960149, -0.279383)",0
1.03437,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0397679, 0.902299, 0.429273)","(-0.206848, -0.942397, -0.262871)","(0.0879035, -0.958506, -0.271181)","(0.116422, -0.944332, 0.307705)","(0.164691, -0.92203, 0.35034)","(0.0849888, -0.996295, -0.0131979)","(-0.170143, -0.985358, 0.0109662)","(-0.0103622, -0.967598, -0.252284)","(-0.0112727, -0.959092, -0.282869)",0
1.06773,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0402562, 0.902914, 0.427931)","(-0.208086, -0.942465, -0.261647)","(0.0898152, -0.958618, -0.270159)","(0.118182, -0.944525, 0.306441)","(0.166273, -0.922107, 0.349389)","(0.0856092, -0.996226, -0.0143306)","(-0.170334, -0.985329, 0.0106099)","(-0.00907492, -0.967384, -0.253154)","(-0.0143324, -0.958627, -0.284303)",0
