time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
0,"(0, 0, 0)","(0.000063, 0.876497, 0.481407)","(-0.632344, -0.7154, 0.297227)","(0.59066, -0.557819, 0.583059)","(0.777922, -0.537717, 0.325112)","(-0.893566, -0.310928, 0.323825)","(0.004211, -0.765215, 0.643761)","(-0.097319, -0.712794, 0.694589)","(0.021508, -0.65941, -0.751476)","(0.002647, -0.713219, -0.700936)",
0.076805,"(0.004877, 0.019361, -0.000002)","(-0.000676, 0.872921, 0.487861)","(-0.644976, -0.709795, 0.28319)","(0.603255, -0.564698, 0.563205)","(0.767216, -0.513284, 0.384603)","(-0.855362, -0.300155, 0.422211)","(-0.011889, -0.783842, 0.620847)","(-0.11533, -0.734807, 0.668399)","(0.026303, -0.688444, -0.724813)","(0.008684, -0.737022, -0.675813)",
0.132862,"(0.011361, 0.097524, 0.000001)","(0.003787, 0.893998, 0.448055)","(-0.700402, -0.679077, 0.219751)","(0.659258, -0.587911, 0.468765)","(0.657277, -0.410606, 0.631973)","(-0.557606, -0.257687, 0.789096)","(0.020188, -0.823405, 0.567095)","(-0.058275, -0.817538, 0.572918)","(-0.025165, -0.771379, -0.635878)","(-0.058405, -0.821122, -0.567756)",
0.174336,"(0.015679, 0.155931, -0.000008)","(0.009339, 0.922111, 0.386814)","(-0.75289, -0.638059, 0.161363)","(0.714682, -0.59585, 0.366323)","(0.474974, -0.329955, 0.8158)","(-0.140734, -0.247333, 0.958655)","(-0.020213, -0.906839, 0.420993)","(0.053826, -0.845734, 0.530883)","(-0.222422, -0.819996, -0.527384)","(-0.04278, -0.844121, -0.534444)",
0.248978,"(0.0186, 0.180058, 0.000004)","(0.012612, 0.941111, 0.337862)","(-0.791604, -0.597872, 0.126145)","(0.761168, -0.582861, 0.284423)","(0.314915, -0.298009, 0.901121)","(0.163633, -0.259628, 0.951744)","(-0.115995, -0.945599, 0.303953)","(0.166177, -0.854328, 0.492452)","(-0.386083, -0.812409, -0.436958)","(0.031518, -0.862658, -0.504805)",
0.312546,"(0.023115, 0.178184, -0.000001)","(0.016167, 0.96749, 0.25239)","(-0.880939, -0.463302, 0.09643)","(0.876882, -0.472589, 0.087962)","(-0.043817, -0.287086, 0.956902)","(0.651987, -0.247653, 0.716646)","(-0.274355, -0.927554, 0.253717)","(0.380917, -0.827853, 0.411779)","(-0.596968, -0.738865, -0.312581)","(0.182771, -0.887328, -0.423373)",
0.359886,"(0.026078, 0.144627, 0.000002)","(0.017021, 0.984216, 0.176153)","(-0.967982, -0.239936, 0.073774)","(0.944822, -0.247957, -0.214078)","(-0.484049, -0.183243, 0.855639)","(0.973766, -0.102148, 0.203338)","(-0.330009, -0.902757, 0.275907)","(0.498478, -0.815304, 0.294618)","(-0.699104, -0.653219, -0.29079)","(0.246013, -0.927627, -0.281043)",
0.410637,"(0.027712, 0.10774, 0.000002)","(0.016753, 0.990104, 0.139333)","(-0.996759, -0.068643, 0.041949)","(0.892341, -0.087384, -0.442823)","(-0.733148, -0.039712, 0.678909)","(0.977233, 0.018295, -0.21138)","(-0.338688, -0.893643, 0.294435)","(0.578044, -0.740483, 0.342856)","(-0.736511, -0.593307, -0.324867)","(0.219288, -0.92586, -0.307728)",
0.511112,"(0.028833, 0.067448, 0)","(0.016669, 0.990891, 0.133629)","(-0.998981, 0.045027, 0.003244)","(0.805382, -0.008176, -0.5927)","(-0.854056, 0.067807, 0.515743)","(0.874151, 0.065755, -0.481183)","(-0.342695, -0.876908, 0.337034)","(0.63592, -0.651631, 0.4135)","(-0.764221, -0.515319, -0.387829)","(0.157576, -0.916529, -0.367621)",
0.517819,"(0.029013, 0.093069, 0)","(0.016645, 0.991095, 0.132111)","(-0.995914, -0.011235, -0.089605)","(0.778545, -0.15265, -0.608741)","(-0.842839, -0.040728, 0.536623)","(0.854949, -0.088342, -0.511135)","(-0.401441, -0.884514, 0.237654)","(0.583292, -0.705122, 0.403204)","(-0.737771, -0.59864, -0.311968)","(0.2065, -0.919647, -0.334076)",
0.57262,"(0.028944, 0.098505, -0.000015)","(0.016719, 0.990826, 0.134108)","(-0.994672, -0.027447, -0.099367)","(0.781493, -0.176601, -0.598399)","(-0.831069, -0.065909, 0.55225)","(0.862725, -0.111499, -0.493227)","(-0.405862, -0.885229, 0.227255)","(0.574887, -0.716112, 0.395838)","(-0.732086, -0.611637, -0.299917)","(0.213402, -0.920928, -0.326115)",
0.646366,"(0.027772, 0.142141, -0.000008)","(0.016967, 0.984873, 0.172445)","(-0.962222, -0.192965, -0.192079)","(0.782072, -0.418448, -0.461806)","(-0.638967, -0.324829, 0.697286)","(0.908696, -0.338888, -0.243775)","(-0.35634, -0.897482, 0.2599)","(0.501311, -0.80369, 0.320577)","(-0.709094, -0.650409, -0.272314)","(0.274842, -0.925923, -0.25909)",
